#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  1.03718  0.112119  0.017725 -0.000065     6.326
   0.00668  0.99360  0.00192  1.03866  0.109000  0.017517 -0.000067     6.222
   0.01807  0.98272  0.00530  1.04154  0.105864  0.017124 -0.000068     6.182
   0.03106  0.97032  0.00914  1.04499  0.102465  0.016669 -0.000071     6.147
   0.04516  0.95680  0.01317  1.04895  0.099028  0.016164 -0.000073     6.126
   0.06006  0.94246  0.01720  1.05340  0.095678  0.015619 -0.000076     6.126
   0.07565  0.92739  0.02118  1.05833  0.092448  0.015036 -0.000079     6.148
   0.09186  0.91167  0.02516  1.06379  0.089298  0.014418 -0.000083     6.193
   0.10852  0.89549  0.02915  1.06975  0.086183  0.013771 -0.000087     6.258
   0.12544  0.87905  0.03313  1.07619  0.083111  0.013102 -0.000092     6.343
   0.14250  0.86245  0.03708  1.08313  0.080094  0.012415 -0.000097     6.451
   0.15964  0.84577  0.04099  1.09059  0.077134  0.011711 -0.000102     6.586
   0.17681  0.82904  0.04484  1.09861  0.074234  0.010991 -0.000109     6.754
   0.19398  0.81229  0.04864  1.10725  0.071394  0.010255 -0.000116     6.962
   0.21115  0.79553  0.05238  1.11661  0.068618  0.009500 -0.000125     7.223
   0.22833  0.77875  0.05606  1.12678  0.065889  0.008726 -0.000136     7.551
   0.24546  0.76200  0.05967  1.13785  0.063207  0.007933 -0.000149     7.968
   0.26249  0.74535  0.06319  1.14996  0.060585  0.007119 -0.000166     8.510
   0.27941  0.72877  0.06660  1.16331  0.058035  0.006281 -0.000187     9.240
   0.29629  0.71222  0.06990  1.17835  0.055531  0.005401 -0.000217    10.281
   0.31313  0.69568  0.07308  1.19581  0.053043  0.004457 -0.000263    11.902
   0.32994  0.67915  0.07616  1.21675  0.050514  0.003416 -0.000326    14.787
   0.34670  0.66266  0.07911  1.24455  0.047786  0.002151 -0.000341    22.211
   0.36339  0.64620  0.08193  1.25263  0.045604  0.001826 -0.000645    24.973
   0.38005  0.62976  0.08462  1.25271  0.043527  0.001826 -0.000646    23.832
   0.39672  0.61329  0.08718  1.25277  0.041345  0.001828 -0.000647    22.620
   0.41338  0.59681  0.08962  1.25280  0.039090  0.001830 -0.000647    21.360
   0.42997  0.58038  0.09191  1.25282  0.036792  0.001833 -0.000648    20.074
   0.44649  0.56400  0.09406  1.25285  0.034494  0.001835 -0.000649    18.794
   0.46301  0.54760  0.09605  1.25289  0.032200  0.001838 -0.000650    17.522
   0.47954  0.53117  0.09790  1.25295  0.029915  0.001839 -0.000652    16.263
   0.49603  0.51477  0.09961  1.25304  0.027640  0.001841 -0.000655    15.018
   0.51242  0.49845  0.10115  1.25318  0.025414  0.001840 -0.000659    13.809
   0.52875  0.48218  0.10252  1.25343  0.023261  0.001838 -0.000664    12.653
