#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  1.00480  0.083903  0.010980 -0.000096     7.641
   0.00668  0.99360  0.00192  1.00730  0.080276  0.010722 -0.000099     7.487
   0.01807  0.98272  0.00530  1.01233  0.077438  0.010226 -0.000104     7.573
   0.03106  0.97032  0.00914  1.01851  0.074525  0.009644 -0.000111     7.728
   0.04516  0.95680  0.01317  1.02577  0.071707  0.008993 -0.000119     7.974
   0.06006  0.94246  0.01720  1.03413  0.069057  0.008282 -0.000129     8.338
   0.07565  0.92739  0.02118  1.04369  0.066582  0.007513 -0.000141     8.862
   0.09186  0.91167  0.02516  1.05464  0.064213  0.006683 -0.000159     9.608
   0.10852  0.89549  0.02915  1.06731  0.061864  0.005782 -0.000183    10.700
   0.12544  0.87905  0.03313  1.08210  0.059500  0.004800 -0.000220    12.396
   0.14250  0.86245  0.03708  1.09985  0.057059  0.003707 -0.000266    15.391
   0.15964  0.84577  0.04099  1.12334  0.054379  0.002372 -0.000278    22.921
   0.17681  0.82904  0.04484  1.12908  0.052307  0.002081 -0.000510    25.136
   0.19398  0.81229  0.04864  1.12916  0.050285  0.002080 -0.000511    24.171
   0.21115  0.79553  0.05238  1.12921  0.048133  0.002081 -0.000511    23.125
   0.22833  0.77875  0.05606  1.12924  0.045880  0.002084 -0.000512    22.020
   0.24546  0.76200  0.05967  1.12925  0.043549  0.002087 -0.000512    20.871
   0.26249  0.74535  0.06319  1.12925  0.041174  0.002090 -0.000512    19.698
   0.27941  0.72877  0.06660  1.12924  0.038795  0.002094 -0.000513    18.528
   0.29629  0.71222  0.06990  1.12924  0.036423  0.002097 -0.000514    17.367
   0.31313  0.69568  0.07308  1.12926  0.034065  0.002100 -0.000515    16.221
   0.32994  0.67915  0.07616  1.12930  0.031736  0.002102 -0.000517    15.098
   0.34670  0.66266  0.07911  1.12938  0.029440  0.002103 -0.000519    13.999
   0.36339  0.64620  0.08193  1.12951  0.027199  0.002103 -0.000522    12.936
   0.38005  0.62976  0.08462  1.12973  0.025020  0.002100 -0.000527    11.913
   0.39672  0.61329  0.08718  1.13005  0.022915  0.002096 -0.000533    10.935
   0.41338  0.59681  0.08962  1.13052  0.020874  0.002088 -0.000541     9.995
   0.42997  0.58038  0.09191  1.13116  0.018909  0.002078 -0.000552     9.099
   0.44649  0.56400  0.09406  1.13206  0.017060  0.002064 -0.000566     8.264
   0.46301  0.54760  0.09605  1.13328  0.015313  0.002046 -0.000585     7.484
   0.47954  0.53117  0.09790  1.13493  0.013675  0.002023 -0.000611     6.760
   0.49603  0.51477  0.09961  1.13710  0.012139  0.001995 -0.000646     6.086
   0.51242  0.49845  0.10115  1.13994  0.010741  0.001960 -0.000678     5.479
   0.52875  0.48218  0.10252  1.14362  0.009503  0.001920 -0.000675     4.950
   0.54509  0.46588  0.10371  1.14825  0.008392  0.001872 -0.000572     4.483
   0.56144  0.44957  0.10475  1.15380  0.007421  0.001819 -0.000305     4.079
   0.57774  0.43329  0.10561  1.16026  0.006572  0.001761  0.000164     3.733
   0.59394  0.41711  0.10630  1.16772  0.005860  0.001696  0.000801     3.455
   0.61007  0.40098  0.10679  1.17591  0.005271  0.001627  0.001546     3.240
   0.62617  0.38489  0.10708  1.18434  0.004790  0.001557  0.002338     3.076
   0.64227  0.36879  0.10718  1.19255  0.004396  0.001489  0.003133     2.952
   0.65836  0.35270  0.10708  1.20029  0.004061  0.001423  0.003938     2.854
   0.67432  0.33674  0.10680  1.20759  0.003750  0.001358  0.004860     2.760
   0.69010  0.32097  0.10629  1.21359  0.003492  0.001299  0.005735     2.689
   0.70583  0.30526  0.10554  1.21783  0.003298  0.001246  0.006412     2.647
   0.72167  0.28945  0.10454  1.22071  0.003143  0.001197  0.006916     2.626
   0.73747  0.27369  0.10335  1.22394  0.002948  0.001144  0.007807     2.578
   0.75302  0.25820  0.10195  1.22569  0.002770  0.001094  0.008750     2.533
   0.76841  0.24291  0.10027  1.22522  0.002622  0.001049  0.009560     2.501
   0.78386  0.22758  0.09831  1.22219  0.002521  0.001010  0.009958     2.497
   0.79934  0.21226  0.09610  1.21903  0.002402  0.000968  0.010593     2.482
   0.81467  0.19713  0.09366  1.21491  0.002275  0.000925  0.011423     2.459
   0.82983  0.18221  0.09095  1.20836  0.002175  0.000887  0.011956     2.453
   0.84493  0.16741  0.08797  1.20061  0.002081  0.000848  0.012408     2.454
   0.85995  0.15275  0.08473  1.19237  0.001973  0.000807  0.013092     2.446
   0.87475  0.13836  0.08125  1.18260  0.001869  0.000765  0.013754     2.443
   0.88915  0.12444  0.07757  1.17205  0.001729  0.000719  0.015323     2.405
   0.90314  0.11101  0.07364  1.15570  0.001644  0.000682  0.015768     2.412
   0.91683  0.09797  0.06946  1.13874  0.001555  0.000642  0.016241     2.423
   0.92993  0.08560  0.06517  1.12169  0.001441  0.000597  0.017411     2.415
   0.94206  0.07425  0.06087  1.10139  0.001300  0.000551  0.020030     2.359
   0.95332  0.06387  0.05649  1.07162  0.001231  0.000519  0.020284     2.374
   0.96371  0.05444  0.05215  1.04273  0.001149  0.000483  0.021020     2.380
   0.97301  0.04611  0.04801  1.01386  0.001063  0.000445  0.021922     2.388
   0.98119  0.03891  0.04412  0.98358  0.000958  0.000407  0.024394     2.354
   0.98837  0.03273  0.04046  0.94629  0.000882  0.000376  0.025690     2.346
   0.99470  0.02743  0.03701  0.90632  0.000814  0.000347  0.026700     2.344
   1.00030  0.02288  0.03375  0.86262  0.000740  0.000319  0.028729     2.316
   1.00527  0.01898  0.03066  0.81191  0.000687  0.000297  0.029183     2.313
   1.00973  0.01561  0.02774  0.75807  0.000634  0.000275  0.029738     2.306
   1.01375  0.01272  0.02495  0.69664  0.000580  0.000256  0.030976     2.267
   1.01739  0.01024  0.02228  0.62880  0.000555  0.000242  0.028349     2.299
   1.02073  0.00811  0.01971  0.56118  0.000503  0.000220  0.028380     2.282
   1.02380  0.00630  0.01724  0.47722  0.000461  0.000207  0.027680     2.227
   1.02664  0.00476  0.01485  0.38711  0.000456  0.000200  0.021726     2.275
   1.02926  0.00350  0.01255  0.29716  0.000412  0.000185  0.019175     2.232
   1.03171  0.00246  0.01033  0.19576  0.000397  0.000177  0.012906     2.249
   1.03400  0.00163  0.00819  0.08806  0.000364  0.000163  0.006446     2.230
   1.03618  0.00098  0.00612 -0.02718  0.000364  0.000163  0.001996     2.230
   1.03826  0.00048  0.00410 -0.13557  0.000368  0.000165  0.009809     2.231
   1.04024  0.00015  0.00214 -0.28992  0.000278  0.000128  0.029203     2.176
   1.04215  0.00001  0.00024 -0.44132  0.000308  0.000134  0.035691     2.303
   1.04400  0.00012 -0.00161 -0.59462  0.000282  0.000130  0.059318     2.170
   1.04587  0.00052 -0.00343 -0.76084  0.000288  0.000128  0.069050     2.253
   1.04780  0.00123 -0.00524 -0.88171  0.000326  0.000141  0.067197     2.307
   1.04986  0.00223 -0.00703 -0.98584  0.000349  0.000153  0.072158     2.278
   1.05205  0.00354 -0.00879 -1.06691  0.000396  0.000170  0.064880     2.339
   1.05438  0.00514 -0.01048 -1.12146  0.000452  0.000190  0.057929     2.373
   1.05689  0.00705 -0.01212 -1.15030  0.000535  0.000218  0.046417     2.451
   1.05960  0.00924 -0.01371 -1.16316  0.000623  0.000249  0.038264     2.499
   1.06254  0.01171 -0.01530 -1.17501  0.000687  0.000277  0.035786     2.480
   1.06576  0.01450 -0.01689 -1.18419  0.000763  0.000306  0.031959     2.494
   1.06931  0.01766 -0.01852 -1.19116  0.000841  0.000336  0.028822     2.506
   1.07328  0.02125 -0.02021 -1.19541  0.000930  0.000368  0.025597     2.526
   1.07773  0.02534 -0.02197 -1.20493  0.000976  0.000394  0.025989     2.474
   1.08275  0.03002 -0.02380 -1.21339  0.001053  0.000424  0.024071     2.481
   1.08845  0.03539 -0.02569 -1.22116  0.001135  0.000456  0.022364     2.486
   1.09493  0.04158 -0.02763 -1.22505  0.001249  0.000495  0.019614     2.522
   1.10237  0.04875 -0.02960 -1.22804  0.001357  0.000536  0.017879     2.533
   1.11095  0.05710 -0.03158 -1.22493  0.001531  0.000588  0.014647     2.602
   1.12083  0.06678 -0.03358 -1.22006  0.001698  0.000645  0.012687     2.633
   1.13204  0.07781 -0.03556 -1.21459  0.001865  0.000704  0.011295     2.648
   1.14448  0.09010 -0.03747 -1.20828  0.002046  0.000767  0.010001     2.668
   1.15809  0.10359 -0.03926 -1.20066  0.002253  0.000835  0.008685     2.699
   1.17266  0.11806 -0.04096 -1.19451  0.002418  0.000898  0.008127     2.692
   1.18781  0.13314 -0.04249 -1.19021  0.002552  0.000956  0.007896     2.668
   1.20335  0.14862 -0.04385 -1.18584  0.002711  0.001015  0.007385     2.670
   1.21923  0.16445 -0.04503 -1.18183  0.002865  0.001073  0.006957     2.671
   1.23540  0.18059 -0.04604 -1.17774  0.003026  0.001129  0.006497     2.680
   1.25175  0.19691 -0.04691 -1.17439  0.003163  0.001182  0.006234     2.675
   1.26813  0.21328 -0.04763 -1.17156  0.003289  0.001233  0.006030     2.668
   1.28457  0.22971 -0.04819 -1.16857  0.003429  0.001283  0.005737     2.673
   1.30115  0.24629 -0.04860 -1.16526  0.003583  0.001334  0.005392     2.685
   1.31783  0.26296 -0.04890 -1.16195  0.003734  0.001385  0.005085     2.697
   1.33448  0.27961 -0.04908 -1.15930  0.003853  0.001431  0.004938     2.694
   1.35110  0.29624 -0.04912 -1.15633  0.003995  0.001478  0.004698     2.703
   1.36778  0.31291 -0.04903 -1.15296  0.004156  0.001527  0.004397     2.722
   1.38450  0.32963 -0.04882 -1.14954  0.004316  0.001576  0.004130     2.739
   1.40120  0.34633 -0.04849 -1.14580  0.004494  0.001626  0.003826     2.765
   1.41786  0.36298 -0.04803 -1.14173  0.004691  0.001677  0.003500     2.797
   1.43449  0.37961 -0.04745 -1.13720  0.004919  0.001731  0.003132     2.842
   1.45114  0.39623 -0.04673 -1.13221  0.005184  0.001788  0.002723     2.900
   1.46777  0.41285 -0.04588 -1.12676  0.005500  0.001847  0.002273     2.978
   1.48439  0.42943 -0.04489 -1.12105  0.005865  0.001908  0.001816     3.073
   1.50097  0.44597 -0.04378 -1.11503  0.006324  0.001972  0.001309     3.206
   1.51751  0.46247 -0.04253 -1.10916  0.006853  0.002035  0.000835     3.367
   1.53401  0.47892 -0.04112 -1.10355  0.007518  0.002097  0.000363     3.586
   1.55050  0.49532 -0.03957 -1.09858  0.008304  0.002153 -0.000030     3.857
   1.56702  0.51176 -0.03785 -1.09427  0.009241  0.002203 -0.000321     4.195
   1.58368  0.52831 -0.03597 -1.09049  0.010326  0.002249 -0.000486     4.591
   1.60055  0.54506 -0.03395 -1.08731  0.011536  0.002291 -0.000544     5.036
   1.61761  0.56199 -0.03181 -1.08470  0.012828  0.002327 -0.000544     5.513
   1.63483  0.57906 -0.02959 -1.08258  0.014187  0.002359 -0.000522     6.015
   1.65218  0.59626 -0.02732 -1.08085  0.015580  0.002386 -0.000499     6.528
   1.66962  0.61355 -0.02500 -1.07940  0.016986  0.002411 -0.000481     7.045
   1.68712  0.63090 -0.02268 -1.07817  0.018375  0.002433 -0.000467     7.552
   1.70462  0.64824 -0.02037 -1.07710  0.019727  0.002453 -0.000456     8.041
