BlendedAirfoil                                  
 Alfa =   8.20000 Re =    60000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00000 -0.06901
   0.99360  0.00192 -0.07124
   0.98272  0.00530 -0.07566
   0.97032  0.00914 -0.08094
   0.95680  0.01317 -0.08701
   0.94246  0.01720 -0.09386
   0.92739  0.02118 -0.10151
   0.91167  0.02516 -0.11002
   0.89549  0.02915 -0.11938
   0.87905  0.03313 -0.12949
   0.86245  0.03708 -0.14043
   0.84577  0.04099 -0.15223
   0.82904  0.04484 -0.16497
   0.81229  0.04864 -0.17875
   0.79553  0.05238 -0.19371
   0.77875  0.05606 -0.21000
   0.76200  0.05967 -0.22775
   0.74535  0.06319 -0.24708
   0.72877  0.06660 -0.26823
   0.71222  0.06990 -0.29154
   0.69568  0.07308 -0.31733
   0.67915  0.07616 -0.34599
   0.66266  0.07911 -0.37795
   0.64620  0.08193 -0.41371
   0.62976  0.08462 -0.45405
   0.61329  0.08718 -0.50002
   0.59681  0.08962 -0.55295
   0.58038  0.09191 -0.61476
   0.56400  0.09406 -0.68957
   0.54760  0.09605 -0.78411
   0.53117  0.09790 -0.92421
   0.51477  0.09961 -0.89508
   0.49845  0.10115 -0.89618
   0.48218  0.10252 -0.89723
   0.46588  0.10371 -0.89830
   0.44957  0.10475 -0.89943
   0.43329  0.10561 -0.90069
   0.41711  0.10630 -0.90215
   0.40098  0.10679 -0.90398
   0.38489  0.10708 -0.90630
   0.36879  0.10718 -0.90932
   0.35270  0.10708 -0.91323
   0.33674  0.10680 -0.91829
   0.32097  0.10629 -0.92498
   0.30526  0.10554 -0.93392
   0.28945  0.10454 -0.94577
   0.27369  0.10335 -0.96109
   0.25820  0.10195 -0.98052
   0.24291  0.10027 -1.00423
   0.22758  0.09831 -1.03170
   0.21226  0.09610 -1.06365
   0.19713  0.09366 -1.09900
   0.18221  0.09095 -1.13555
   0.16741  0.08797 -1.17267
   0.15275  0.08473 -1.21056
   0.13836  0.08125 -1.24935
   0.12444  0.07757 -1.28884
   0.11101  0.07364 -1.32433
   0.09797  0.06946 -1.35936
   0.08560  0.06517 -1.40160
   0.07425  0.06087 -1.44205
   0.06387  0.05649 -1.46886
   0.05444  0.05215 -1.50312
   0.04611  0.04801 -1.54674
   0.03891  0.04412 -1.58779
   0.03273  0.04046 -1.62083
   0.02743  0.03701 -1.64446
   0.02288  0.03375 -1.65811
   0.01898  0.03066 -1.65953
   0.01561  0.02774 -1.65036
   0.01272  0.02495 -1.62893
   0.01024  0.02228 -1.58812
   0.00811  0.01971 -1.52659
   0.00630  0.01724 -1.44213
   0.00476  0.01485 -1.33930
   0.00350  0.01255 -1.20858
   0.00246  0.01033 -1.06019
   0.00163  0.00819 -0.90389
   0.00098  0.00612 -0.75243
   0.00048  0.00410 -0.62736
   0.00015  0.00214 -0.48311
   0.00001  0.00024 -0.30824
   0.00012 -0.00161 -0.07505
   0.00052 -0.00343  0.21174
   0.00123 -0.00524  0.50667
   0.00223 -0.00703  0.72379
   0.00354 -0.00879  0.87085
   0.00514 -0.01048  0.95859
   0.00705 -0.01212  0.99548
   0.00924 -0.01371  0.99896
   0.01171 -0.01530  0.98234
   0.01450 -0.01689  0.95297
   0.01766 -0.01852  0.91538
   0.02125 -0.02021  0.87135
   0.02534 -0.02197  0.82440
   0.03002 -0.02380  0.76915
   0.03539 -0.02569  0.71374
   0.04158 -0.02763  0.65627
   0.04875 -0.02960  0.59899
   0.05710 -0.03158  0.54761
   0.06678 -0.03358  0.49716
   0.07781 -0.03556  0.44844
   0.09010 -0.03747  0.40493
   0.10359 -0.03926  0.36627
   0.11806 -0.04096  0.33029
   0.13314 -0.04249  0.29484
   0.14862 -0.04385  0.26461
   0.16445 -0.04503  0.23744
   0.18059 -0.04604  0.21398
   0.19691 -0.04691  0.19100
   0.21328 -0.04763  0.16997
   0.22971 -0.04819  0.15131
   0.24629 -0.04860  0.13490
   0.26296 -0.04890  0.11891
   0.27961 -0.04908  0.10318
   0.29624 -0.04912  0.08923
   0.31291 -0.04903  0.07683
   0.32963 -0.04882  0.06486
   0.34633 -0.04849  0.05407
   0.36298 -0.04803  0.04399
   0.37961 -0.04745  0.03517
   0.39623 -0.04673  0.02792
   0.41285 -0.04588  0.02173
   0.42943 -0.04489  0.01658
   0.44597 -0.04378  0.01317
   0.46247 -0.04253  0.01092
   0.47892 -0.04112  0.01109
   0.49532 -0.03957  0.01306
   0.51176 -0.03785  0.01773
   0.52831 -0.03597  0.02491
   0.54506 -0.03395  0.03324
   0.56199 -0.03181  0.04197
   0.57906 -0.02959  0.05126
   0.59626 -0.02732  0.06045
   0.61355 -0.02500  0.06944
   0.63090 -0.02268  0.07796
   0.64824 -0.02037  0.08614
   0.66552 -0.01809  0.09383
   0.68272 -0.01585  0.10110
   0.69982 -0.01367  0.10792
   0.71684 -0.01156  0.11429
   0.73379 -0.00953  0.12034
   0.75067 -0.00760  0.12582
   0.76746 -0.00576  0.13065
   0.78418 -0.00404  0.13495
   0.80079 -0.00245  0.13868
   0.81731 -0.00100  0.14164
   0.83371  0.00030  0.14374
   0.85000  0.00143  0.14469
   0.86619  0.00238  0.14428
   0.88223  0.00314  0.14229
   0.89808  0.00370  0.13819
   0.91366  0.00404  0.13098
   0.92887  0.00415  0.12000
   0.94358  0.00401  0.10378
   0.95760  0.00361  0.08058
   0.97069  0.00296  0.04698
   0.98268  0.00205 -0.00271
   0.99348  0.00090 -0.08419
   1.00000  0.00000 -0.06901
