#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  1.04981  0.123872  0.019145 -0.000061     6.470
   0.00668  0.99360  0.00192  1.05110  0.120770  0.018948 -0.000062     6.374
   0.01807  0.98272  0.00530  1.05359  0.117490  0.018579 -0.000063     6.324
   0.03106  0.97032  0.00914  1.05655  0.113895  0.018151 -0.000065     6.275
   0.04516  0.95680  0.01317  1.05994  0.110223  0.017678 -0.000067     6.235
   0.06006  0.94246  0.01720  1.06371  0.106607  0.017169 -0.000070     6.209
   0.07565  0.92739  0.02118  1.06789  0.103085  0.016626 -0.000072     6.200
   0.09186  0.91167  0.02516  1.07248  0.099620  0.016052 -0.000075     6.206
   0.10852  0.89549  0.02915  1.07747  0.096171  0.015452 -0.000078     6.224
   0.12544  0.87905  0.03313  1.08283  0.092753  0.014834 -0.000082     6.253
   0.14250  0.86245  0.03708  1.08856  0.089379  0.014200 -0.000086     6.294
   0.15964  0.84577  0.04099  1.09469  0.086056  0.013554 -0.000090     6.349
   0.17681  0.82904  0.04484  1.10122  0.082788  0.012894 -0.000095     6.420
   0.19398  0.81229  0.04864  1.10821  0.079580  0.012223 -0.000100     6.511
   0.21115  0.79553  0.05238  1.11570  0.076435  0.011538 -0.000106     6.624
   0.22833  0.77875  0.05606  1.12376  0.073345  0.010840 -0.000113     6.766
   0.24546  0.76200  0.05967  1.13243  0.070312  0.010127 -0.000121     6.943
   0.26249  0.74535  0.06319  1.14176  0.067359  0.009403 -0.000130     7.163
   0.27941  0.72877  0.06660  1.15186  0.064501  0.008664 -0.000141     7.444
   0.29629  0.71222  0.06990  1.16287  0.061735  0.007907 -0.000154     7.807
   0.31313  0.69568  0.07308  1.17495  0.059053  0.007128 -0.000170     8.284
   0.32994  0.67915  0.07616  1.18832  0.056451  0.006324 -0.000191     8.927
   0.34670  0.66266  0.07911  1.20326  0.053912  0.005487 -0.000220     9.826
   0.36339  0.64620  0.08193  1.22051  0.051410  0.004593 -0.000262    11.193
   0.38005  0.62976  0.08462  1.24085  0.048918  0.003625 -0.000332    13.493
   0.39672  0.61329  0.08718  1.26669  0.046314  0.002504 -0.000353    18.499
   0.41338  0.59681  0.08962  1.28607  0.043867  0.001755 -0.000689    24.991
   0.42997  0.58038  0.09191  1.28618  0.041820  0.001755 -0.000690    23.830
   0.44649  0.56400  0.09406  1.28625  0.039662  0.001756 -0.000691    22.587
   0.46301  0.54760  0.09605  1.28630  0.037442  0.001758 -0.000692    21.302
   0.47954  0.53117  0.09790  1.28635  0.035172  0.001760 -0.000693    19.987
   0.49603  0.51477  0.09961  1.28639  0.032868  0.001762 -0.000694    18.653
   0.51242  0.49845  0.10115  1.28643  0.030574  0.001764 -0.000696    17.330
   0.52875  0.48218  0.10252  1.28652  0.028315  0.001765 -0.000698    16.038
   0.54509  0.46588  0.10371  1.28665  0.026090  0.001766 -0.000702    14.776
   0.56144  0.44957  0.10475  1.28686  0.023893  0.001765 -0.000707    13.540
   0.57774  0.43329  0.10561  1.28716  0.021737  0.001762 -0.000713    12.337
   0.59394  0.41711  0.10630  1.28761  0.019663  0.001757 -0.000722    11.191
   0.61007  0.40098  0.10679  1.28828  0.017679  0.001749 -0.000735    10.108
   0.62617  0.38489  0.10708  1.28924  0.015785  0.001738 -0.000752     9.084
   0.64227  0.36879  0.10718  1.29060  0.013998  0.001722 -0.000776     8.129
   0.65836  0.35270  0.10708  1.29250  0.012309  0.001701 -0.000810     7.235
   0.67432  0.33674  0.10680  1.29511  0.010734  0.001675 -0.000858     6.407
   0.69010  0.32097  0.10629  1.29868  0.009318  0.001643 -0.000918     5.672
   0.70583  0.30526  0.10554  1.30351  0.008094  0.001603 -0.000934     5.050
   0.72167  0.28945  0.10454  1.30986  0.007023  0.001555 -0.000806     4.517
   0.73747  0.27369  0.10335  1.31769  0.006062  0.001501 -0.000365     4.040
   0.75302  0.25820  0.10195  1.32696  0.005242  0.001440  0.000479     3.639
   0.76841  0.24291  0.10027  1.33758  0.004627  0.001374  0.001493     3.367
   0.78386  0.22758  0.09831  1.34889  0.004154  0.001306  0.002542     3.180
   0.79934  0.21226  0.09610  1.36053  0.003749  0.001238  0.003716     3.029
   0.81467  0.19713  0.09366  1.37172  0.003412  0.001171  0.004917     2.914
   0.82983  0.18221  0.09095  1.38171  0.003150  0.001109  0.005950     2.841
   0.84493  0.16741  0.08797  1.39073  0.002934  0.001050  0.006853     2.794
   0.85995  0.15275  0.08473  1.39926  0.002735  0.000992  0.007765     2.757
   0.87475  0.13836  0.08125  1.40758  0.002535  0.000934  0.008882     2.715
   0.88915  0.12444  0.07757  1.41518  0.002340  0.000876  0.010219     2.670
   0.90314  0.11101  0.07364  1.42093  0.002179  0.000823  0.011325     2.647
   0.91683  0.09797  0.06946  1.42521  0.002057  0.000773  0.011808     2.663
   0.92993  0.08560  0.06517  1.43192  0.001877  0.000716  0.013639     2.622
   0.94206  0.07425  0.06087  1.43689  0.001691  0.000661  0.016315     2.560
   0.95332  0.06387  0.05649  1.43571  0.001595  0.000618  0.016846     2.582
   0.96371  0.05444  0.05215  1.43649  0.001495  0.000573  0.017451     2.609
   0.97301  0.04611  0.04801  1.44014  0.001359  0.000525  0.019704     2.588
   0.98119  0.03891  0.04412  1.44219  0.001227  0.000480  0.022666     2.556
   0.98837  0.03273  0.04046  1.44092  0.001118  0.000440  0.025342     2.538
   0.99470  0.02743  0.03701  1.43772  0.001004  0.000403  0.029552     2.493
   1.00030  0.02288  0.03375  1.42863  0.000921  0.000372  0.032555     2.478
   1.00527  0.01898  0.03066  1.41698  0.000843  0.000343  0.035878     2.461
   1.00973  0.01561  0.02774  1.40203  0.000764  0.000315  0.040614     2.425
   1.01375  0.01272  0.02495  1.38039  0.000703  0.000292  0.044296     2.407
   1.01739  0.01024  0.02228  1.35402  0.000646  0.000271  0.048250     2.387
   1.02073  0.00811  0.01971  1.32162  0.000594  0.000251  0.052398     2.363
   1.02380  0.00630  0.01724  1.28210  0.000551  0.000235  0.055590     2.349
   1.02664  0.00476  0.01485  1.23512  0.000505  0.000219  0.060907     2.305
   1.02926  0.00350  0.01255  1.17693  0.000482  0.000209  0.060506     2.310
   1.03171  0.00246  0.01033  1.11533  0.000449  0.000198  0.063861     2.271
   1.03400  0.00163  0.00819  1.04435  0.000437  0.000191  0.060501     2.288
   1.03618  0.00098  0.00612  0.97515  0.000416  0.000182  0.059408     2.287
   1.03826  0.00048  0.00410  0.90375  0.000395  0.000171  0.056597     2.311
   1.04024  0.00015  0.00214  0.82970  0.000359  0.000156  0.057267     2.308
   1.04215  0.00001  0.00024  0.73660  0.000320  0.000141  0.058996     2.273
