#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.89639  0.035352  0.012457  0.000257     2.838
   0.00668  0.99360  0.00192  0.90137  0.033026  0.012131  0.000331     2.723
   0.01807  0.98272  0.00530  0.90914  0.030617  0.011651  0.000409     2.628
   0.03106  0.97032  0.00914  0.91882  0.028166  0.011096  0.000499     2.538
   0.04516  0.95680  0.01317  0.92988  0.025938  0.010509  0.000589     2.468
   0.06006  0.94246  0.01720  0.94177  0.024061  0.009927  0.000665     2.424
   0.07565  0.92739  0.02118  0.95413  0.022557  0.009366  0.000712     2.408
   0.09186  0.91167  0.02516  0.96696  0.021370  0.008824  0.000727     2.422
   0.10852  0.89549  0.02915  0.98042  0.020422  0.008292  0.000708     2.463
   0.12544  0.87905  0.03313  0.99465  0.019693  0.007766  0.000653     2.536
   0.14250  0.86245  0.03708  1.00994  0.019165  0.007236  0.000561     2.649
   0.15964  0.84577  0.04099  1.02683  0.018825  0.006686  0.000433     2.816
   0.17681  0.82904  0.04484  1.04609  0.018652  0.006097  0.000297     3.059
   0.19398  0.81229  0.04864  1.06877  0.018619  0.005448  0.000140     3.418
   0.21115  0.79553  0.05238  1.09681  0.018681  0.004700 -0.000038     3.975
   0.22833  0.77875  0.05606  1.12971  0.018773  0.003891 -0.000175     4.824
   0.24546  0.76200  0.05967  1.16491  0.018825  0.003097 -0.000232     6.078
   0.26249  0.74535  0.06319  1.20465  0.018729  0.002280 -0.000298     8.213
   0.27941  0.72877  0.06660  1.23840  0.018463  0.001658 -0.000402    11.137
   0.29629  0.71222  0.06990  1.23941  0.018154  0.001642 -0.000406    11.053
   0.31313  0.69568  0.07308  1.24030  0.017599  0.001629 -0.000411    10.800
   0.32994  0.67915  0.07616  1.24113  0.016881  0.001618 -0.000416    10.433
   0.34670  0.66266  0.07911  1.24194  0.016044  0.001607 -0.000421     9.981
   0.36339  0.64620  0.08193  1.24279  0.015133  0.001597 -0.000427     9.476
   0.38005  0.62976  0.08462  1.24371  0.014181  0.001586 -0.000435     8.941
   0.39672  0.61329  0.08718  1.24475  0.013205  0.001574 -0.000444     8.388
   0.41338  0.59681  0.08962  1.24596  0.012207  0.001561 -0.000455     7.818
   0.42997  0.58038  0.09191  1.24738  0.011209  0.001547 -0.000469     7.246
   0.44649  0.56400  0.09406  1.24912  0.010242  0.001530 -0.000486     6.693
   0.46301  0.54760  0.09605  1.25125  0.009318  0.001511 -0.000509     6.167
   0.47954  0.53117  0.09790  1.25388  0.008435  0.001489 -0.000534     5.665
   0.49603  0.51477  0.09961  1.25712  0.007592  0.001463 -0.000544     5.188
