#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  1.11954  0.155186  0.002525 -0.000276    61.472
   0.00668  0.99360  0.00192  1.11941  0.151831  0.002545 -0.000814    59.659
   0.01807  0.98272  0.00530  1.11937  0.148452  0.002553 -0.000812    58.138
   0.03106  0.97032  0.00914  1.11934  0.144714  0.002562 -0.000809    56.480
   0.04516  0.95680  0.01317  1.11931  0.140831  0.002570 -0.000807    54.793
   0.06006  0.94246  0.01720  1.11930  0.136923  0.002577 -0.000805    53.134
   0.07565  0.92739  0.02118  1.11930  0.133020  0.002582 -0.000804    51.513
   0.09186  0.91167  0.02516  1.11930  0.129081  0.002587 -0.000803    49.899
   0.10852  0.89549  0.02915  1.11930  0.125064  0.002592 -0.000801    48.255
   0.12544  0.87905  0.03313  1.11930  0.120985  0.002597 -0.000800    46.584
   0.14250  0.86245  0.03708  1.11930  0.116859  0.002603 -0.000799    44.889
   0.15964  0.84577  0.04099  1.11929  0.112697  0.002610 -0.000797    43.177
   0.17681  0.82904  0.04484  1.11926  0.108505  0.002618 -0.000795    41.449
   0.19398  0.81229  0.04864  1.11923  0.104292  0.002626 -0.000793    39.712
   0.21115  0.79553  0.05238  1.11920  0.100064  0.002635 -0.000791    37.971
   0.22833  0.77875  0.05606  1.11915  0.095815  0.002645 -0.000789    36.223
   0.24546  0.76200  0.05967  1.11909  0.091552  0.002656 -0.000786    34.473
   0.26249  0.74535  0.06319  1.11902  0.087308  0.002667 -0.000784    32.738
   0.27941  0.72877  0.06660  1.11895  0.083103  0.002678 -0.000781    31.030
   0.29629  0.71222  0.06990  1.11887  0.078943  0.002689 -0.000779    29.353
   0.31313  0.69568  0.07308  1.11879  0.074823  0.002701 -0.000777    27.705
   0.32994  0.67915  0.07616  1.11870  0.070757  0.002712 -0.000775    26.094
   0.34670  0.66266  0.07911  1.11862  0.066746  0.002722 -0.000773    24.519
   0.36339  0.64620  0.08193  1.11854  0.062804  0.002732 -0.000772    22.986
   0.38005  0.62976  0.08462  1.11848  0.058945  0.002741 -0.000771    21.501
   0.39672  0.61329  0.08718  1.11842  0.055160  0.002750 -0.000771    20.061
   0.41338  0.59681  0.08962  1.11839  0.051449  0.002757 -0.000771    18.664
   0.42997  0.58038  0.09191  1.11838  0.047826  0.002762 -0.000773    17.315
   0.44649  0.56400  0.09406  1.11841  0.044312  0.002766 -0.000775    16.020
   0.46301  0.54760  0.09605  1.11849  0.040909  0.002768 -0.000778    14.782
   0.47954  0.53117  0.09790  1.11864  0.037601  0.002767 -0.000783    13.591
   0.49603  0.51477  0.09961  1.11889  0.034400  0.002763 -0.000790    12.452
   0.51242  0.49845  0.10115  1.11925  0.031331  0.002756 -0.000799    11.370
   0.52875  0.48218  0.10252  1.11978  0.028416  0.002744 -0.000812    10.356
   0.54509  0.46588  0.10371  1.12053  0.025645  0.002727 -0.000828     9.402
   0.56144  0.44957  0.10475  1.12156  0.023002  0.002706 -0.000851     8.502
   0.57774  0.43329  0.10561  1.12296  0.020513  0.002677 -0.000881     7.662
   0.59394  0.41711  0.10630  1.12484  0.018202  0.002642 -0.000921     6.890
   0.61007  0.40098  0.10679  1.12733  0.016072  0.002599 -0.000976     6.185
   0.62617  0.38489  0.10708  1.13062  0.014135  0.002546 -0.001036     5.552
   0.64227  0.36879  0.10718  1.13491  0.012384  0.002483 -0.001041     4.987
   0.65836  0.35270  0.10708  1.14036  0.010817  0.002410 -0.000886     4.488
   0.67432  0.33674  0.10680  1.14695  0.009432  0.002329 -0.000426     4.050
   0.69010  0.32097  0.10629  1.15467  0.008250  0.002239  0.000399     3.684
   0.70583  0.30526  0.10554  1.16358  0.007298  0.002141  0.001469     3.409
   0.72167  0.28945  0.10454  1.17338  0.006506  0.002036  0.002736     3.196
   0.73747  0.27369  0.10335  1.18364  0.005816  0.001928  0.004251     3.016
   0.75302  0.25820  0.10195  1.19363  0.005223  0.001822  0.005988     2.866
   0.76841  0.24291  0.10027  1.20185  0.004795  0.001728  0.007421     2.775
   0.78386  0.22758  0.09831  1.20869  0.004447  0.001640  0.008722     2.712
   0.79934  0.21226  0.09610  1.21450  0.004128  0.001554  0.010108     2.656
   0.81467  0.19713  0.09366  1.21888  0.003841  0.001473  0.011542     2.607
   0.82983  0.18221  0.09095  1.22119  0.003608  0.001399  0.012710     2.579
   0.84493  0.16741  0.08797  1.22211  0.003400  0.001327  0.013771     2.561
   0.85995  0.15275  0.08473  1.22220  0.003186  0.001254  0.015055     2.540
   0.87475  0.13836  0.08125  1.22082  0.002981  0.001183  0.016414     2.520
   0.88915  0.12444  0.07757  1.21807  0.002765  0.001110  0.018235     2.490
   0.90314  0.11101  0.07364  1.21215  0.002589  0.001044  0.019606     2.479
   0.91683  0.09797  0.06946  1.20426  0.002443  0.000980  0.020369     2.492
   0.92993  0.08560  0.06517  1.19718  0.002233  0.000907  0.022854     2.462
   0.94206  0.07425  0.06087  1.18604  0.002026  0.000839  0.026154     2.416
   0.95332  0.06387  0.05649  1.16810  0.001903  0.000785  0.027192     2.425
   0.96371  0.05444  0.05215  1.15044  0.001782  0.000729  0.028046     2.444
   0.97301  0.04611  0.04801  1.13420  0.001623  0.000668  0.030885     2.427
   0.98119  0.03891  0.04412  1.11468  0.001478  0.000613  0.033831     2.412
   0.98837  0.03273  0.04046  1.09159  0.001345  0.000562  0.037182     2.391
   0.99470  0.02743  0.03701  1.06386  0.001229  0.000518  0.040311     2.374
   1.00030  0.02288  0.03375  1.03167  0.001127  0.000478  0.043340     2.358
   1.00527  0.01898  0.03066  0.99510  0.001040  0.000443  0.045574     2.351
   1.00973  0.01561  0.02774  0.95508  0.000956  0.000409  0.048104     2.340
   1.01375  0.01272  0.02495  0.90847  0.000870  0.000378  0.052109     2.303
   1.01739  0.01024  0.02228  0.85357  0.000821  0.000355  0.051236     2.316
   1.02073  0.00811  0.01971  0.79596  0.000752  0.000329  0.053544     2.288
   1.02380  0.00630  0.01724  0.72971  0.000706  0.000308  0.051994     2.293
   1.02664  0.00476  0.01485  0.65650  0.000648  0.000288  0.052765     2.255
   1.02926  0.00350  0.01255  0.57375  0.000623  0.000275  0.047398     2.268
   1.03171  0.00246  0.01033  0.48959  0.000581  0.000257  0.043635     2.261
   1.03400  0.00163  0.00819  0.39284  0.000550  0.000248  0.038672     2.213
   1.03618  0.00098  0.00612  0.29451  0.000556  0.000245  0.027342     2.266
   1.03826  0.00048  0.00410  0.19607  0.000486  0.000216  0.021157     2.247
   1.04024  0.00015  0.00214  0.07012  0.000440  0.000197  0.008500     2.230
   1.04215  0.00001  0.00024 -0.06793  0.000440  0.000197  0.008224     2.230
   1.04400  0.00012 -0.00161 -0.20239  0.000440  0.000197  0.024530     2.229
   1.04587  0.00052 -0.00343 -0.35785  0.000401  0.000182  0.048609     2.205
   1.04780  0.00123 -0.00524 -0.50135  0.000446  0.000195  0.056976     2.286
   1.04986  0.00223 -0.00703 -0.61715  0.000487  0.000215  0.065700     2.261
   1.05205  0.00354 -0.00879 -0.72440  0.000523  0.000230  0.071292     2.269
   1.05438  0.00514 -0.01048 -0.79979  0.000611  0.000261  0.062741     2.344
   1.05689  0.00705 -0.01212 -0.85296  0.000693  0.000295  0.058735     2.350
   1.05960  0.00924 -0.01371 -0.89158  0.000793  0.000333  0.051796     2.385
   1.06254  0.01171 -0.01530 -0.92210  0.000883  0.000370  0.047909     2.389
   1.06576  0.01450 -0.01689 -0.95182  0.000955  0.000402  0.046475     2.373
   1.06931  0.01766 -0.01852 -0.97456  0.001067  0.000442  0.040978     2.412
   1.07328  0.02125 -0.02021 -0.99618  0.001152  0.000480  0.039229     2.401
   1.07773  0.02534 -0.02197 -1.01907  0.001229  0.000515  0.038120     2.387
   1.08275  0.03002 -0.02380 -1.04088  0.001323  0.000553  0.035931     2.394
   1.08845  0.03539 -0.02569 -1.05963  0.001440  0.000597  0.032987     2.413
   1.09493  0.04158 -0.02763 -1.07763  0.001549  0.000642  0.031121     2.415
   1.10237  0.04875 -0.02960 -1.09165  0.001702  0.000696  0.027827     2.445
   1.11095  0.05710 -0.03158 -1.10033  0.001898  0.000763  0.024076     2.487
   1.12083  0.06678 -0.03358 -1.10611  0.002099  0.000836  0.021355     2.510
   1.13204  0.07781 -0.03556 -1.11116  0.002291  0.000912  0.019567     2.514
   1.14448  0.09010 -0.03747 -1.11443  0.002510  0.000992  0.017615     2.529
   1.15809  0.10359 -0.03926 -1.11618  0.002739  0.001076  0.015897     2.545
   1.17266  0.11806 -0.04096 -1.11809  0.002943  0.001157  0.014861     2.542
