#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  1.16037  0.159594  0.002418 -0.000296    66.013
   0.00650  0.99435  0.00320  1.16018  0.155555  0.002446 -0.000878    63.599
   0.01711  0.98462  0.00744  1.16010  0.151765  0.002460 -0.000873    61.682
   0.02876  0.97379  0.01174  1.16003  0.147872  0.002474 -0.000868    59.774
   0.04187  0.96143  0.01612  1.15998  0.143989  0.002484 -0.000865    57.971
   0.05599  0.94801  0.02051  1.15995  0.140075  0.002492 -0.000862    56.211
   0.07098  0.93367  0.02489  1.15994  0.136173  0.002498 -0.000860    54.509
   0.08668  0.91860  0.02928  1.15994  0.132221  0.002504 -0.000859    52.811
   0.10278  0.90311  0.03366  1.15993  0.128215  0.002509 -0.000857    51.098
   0.11911  0.88737  0.03799  1.15993  0.124189  0.002515 -0.000856    49.379
   0.13559  0.87145  0.04226  1.15992  0.120139  0.002521 -0.000854    47.653
   0.15221  0.85538  0.04650  1.15991  0.116044  0.002528 -0.000852    45.904
   0.16888  0.83925  0.05069  1.15988  0.111908  0.002536 -0.000850    44.133
   0.18548  0.82316  0.05481  1.15985  0.107753  0.002544 -0.000848    42.350
   0.20199  0.80715  0.05881  1.15981  0.103627  0.002553 -0.000845    40.584
   0.21857  0.79104  0.06274  1.15976  0.099519  0.002563 -0.000843    38.835
   0.23528  0.77479  0.06665  1.15971  0.095344  0.002573 -0.000840    37.059
   0.25193  0.75860  0.07055  1.15963  0.091089  0.002585 -0.000837    35.243
   0.26841  0.74256  0.07432  1.15954  0.086858  0.002597 -0.000834    33.446
   0.28484  0.72654  0.07798  1.15945  0.082685  0.002609 -0.000831    31.689
   0.30137  0.71040  0.08155  1.15935  0.078511  0.002622 -0.000828    29.946
   0.31793  0.69422  0.08506  1.15923  0.074321  0.002635 -0.000825    28.208
   0.33438  0.67812  0.08845  1.15911  0.070168  0.002648 -0.000822    26.499
   0.35065  0.66217  0.09168  1.15899  0.066097  0.002661 -0.000819    24.842
   0.36678  0.64634  0.09474  1.15887  0.062132  0.002673 -0.000817    23.246
   0.38293  0.63045  0.09763  1.15877  0.058281  0.002684 -0.000816    21.718
   0.39926  0.61436  0.10039  1.15868  0.054494  0.002693 -0.000815    20.236
   0.41566  0.59817  0.10307  1.15861  0.050724  0.002702 -0.000815    18.774
   0.43180  0.58223  0.10559  1.15854  0.047036  0.002710 -0.000816    17.357
   0.44763  0.56657  0.10787  1.15852  0.043556  0.002715 -0.000817    16.040
   0.46352  0.55081  0.10991  1.15859  0.040285  0.002718 -0.000821    14.824
   0.47977  0.53467  0.11181  1.15874  0.037097  0.002717 -0.000826    13.655
   0.49618  0.51837  0.11365  1.15897  0.033899  0.002714 -0.000833    12.491
   0.51229  0.50234  0.11533  1.15929  0.030814  0.002708 -0.000842    11.378
   0.52811  0.48659  0.11678  1.15979  0.027957  0.002698 -0.000855    10.361
   0.54397  0.47078  0.11798  1.16054  0.025315  0.002683 -0.000872     9.437
   0.56005  0.45473  0.11903  1.16159  0.022790  0.002661 -0.000894     8.563
   0.57624  0.43857  0.11993  1.16300  0.020362  0.002634 -0.000925     7.730
   0.59232  0.42250  0.12067  1.16487  0.018079  0.002601 -0.000967     6.952
   0.60821  0.40663  0.12121  1.16734  0.015982  0.002559 -0.001023     6.245
   0.62395  0.39089  0.12154  1.17057  0.014100  0.002510 -0.001086     5.618
   0.63976  0.37507  0.12162  1.17480  0.012434  0.002451 -0.001104     5.074
   0.65588  0.35896  0.12150  1.18025  0.010945  0.002380 -0.000999     4.598
   0.67205  0.34278  0.12126  1.18694  0.009531  0.002301 -0.000593     4.142
   0.68772  0.32712  0.12088  1.19467  0.008244  0.002215  0.000302     3.722
   0.70294  0.31192  0.12021  1.20356  0.007253  0.002121  0.001484     3.420
   0.71839  0.29650  0.11916  1.21298  0.006578  0.002024  0.002505     3.249
   0.73435  0.28059  0.11790  1.22314  0.005966  0.001923  0.003699     3.103
   0.75001  0.26498  0.11659  1.23461  0.005251  0.001811  0.005874     2.899
   0.76493  0.25014  0.11506  1.24453  0.004702  0.001709  0.008094     2.750
   0.77982  0.23538  0.11308  1.24994  0.004453  0.001634  0.008871     2.724
   0.79538  0.22001  0.11073  1.25430  0.004292  0.001564  0.009000     2.745
   0.81102  0.20455  0.10830  1.26221  0.003907  0.001470  0.011059     2.659
   0.82600  0.18980  0.10573  1.26856  0.003522  0.001378  0.013890     2.555
   0.84071  0.17539  0.10277  1.26835  0.003335  0.001314  0.014937     2.539
   0.85573  0.16075  0.09940  1.26619  0.003206  0.001253  0.015178     2.559
   0.87095  0.14598  0.09573  1.26564  0.003016  0.001181  0.016219     2.554
   0.88579  0.13165  0.09188  1.26557  0.002750  0.001100  0.018868     2.499
   0.89983  0.11819  0.08789  1.26170  0.002464  0.001023  0.023034     2.410
   0.91347  0.10527  0.08349  1.24635  0.002370  0.000976  0.023225     2.428
   0.92739  0.09224  0.07859  1.23117  0.002392  0.000932  0.019598     2.567
   0.94066  0.07986  0.07383  1.23077  0.002040  0.000834  0.026120     2.447
   0.95248  0.06901  0.06916  1.21467  0.001705  0.000755  0.037029     2.259
   0.96382  0.05892  0.06397  1.16619  0.001777  0.000751  0.030842     2.365
   0.97504  0.04908  0.05858  1.13884  0.001792  0.000710  0.025346     2.525
   0.98519  0.04021  0.05364  1.13156  0.001545  0.000620  0.030251     2.492
   0.99394  0.03275  0.04906  1.11547  0.001302  0.000539  0.038193     2.418
   1.00154  0.02656  0.04467  1.08087  0.001124  0.000477  0.045589     2.356
   1.00822  0.02140  0.04041  1.02703  0.001002  0.000433  0.050549     2.315
   1.01417  0.01712  0.03630  0.95994  0.000925  0.000401  0.051532     2.308
   1.01944  0.01357  0.03239  0.88711  0.000849  0.000370  0.052548     2.294
   1.02410  0.01067  0.02874  0.80944  0.000788  0.000342  0.051224     2.303
   1.02824  0.00834  0.02532  0.72372  0.000712  0.000316  0.052988     2.255
   1.03198  0.00648  0.02208  0.62198  0.000683  0.000306  0.048348     2.234
   1.03538  0.00498  0.01903  0.51998  0.000677  0.000304  0.040895     2.231
   1.03846  0.00375  0.01620  0.42686  0.000673  0.000300  0.033409     2.244
   1.04123  0.00271  0.01363  0.34222  0.000648  0.000288  0.027658     2.251
   1.04375  0.00182  0.01128  0.25809  0.000607  0.000270  0.022294     2.249
   1.04608  0.00108  0.00907  0.16693  0.000555  0.000247  0.015792     2.247
   1.04827  0.00045  0.00697  0.06025  0.000502  0.000225  0.006402     2.230
   1.05034 -0.00004  0.00496 -0.05492  0.000502  0.000225  0.005829     2.230
   1.05225 -0.00030  0.00307 -0.21762  0.000363  0.000165  0.032793     2.199
   1.05403 -0.00027  0.00128 -0.41911  0.000351  0.000156  0.062685     2.247
   1.05576  0.00014 -0.00040 -0.60460  0.000361  0.000162  0.088755     2.235
   1.05758  0.00098 -0.00201 -0.73700  0.000438  0.000187  0.081387     2.336
   1.05959  0.00220 -0.00360 -0.81770  0.000527  0.000224  0.074168     2.348
   1.06184  0.00375 -0.00524 -0.87827  0.000614  0.000260  0.067684     2.359
   1.06427  0.00552 -0.00691 -0.95208  0.000620  0.000274  0.079586     2.262
   1.06684  0.00750 -0.00855 -1.04605  0.000612  0.000275  0.091496     2.227
   1.06954  0.00974 -0.01005 -1.12841  0.000655  0.000286  0.087443     2.285
