#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  1.11136  0.147648  0.002590 -0.000272    56.997
   0.00668  0.99360  0.00192  1.11122  0.144290  0.002612 -0.000788    55.245
   0.01807  0.98272  0.00530  1.11117  0.140957  0.002621 -0.000786    53.778
   0.03106  0.97032  0.00914  1.11113  0.137279  0.002631 -0.000783    52.184
   0.04516  0.95680  0.01317  1.11110  0.133469  0.002639 -0.000781    50.567
   0.06006  0.94246  0.01720  1.11108  0.129643  0.002647 -0.000779    48.980
   0.07565  0.92739  0.02118  1.11107  0.125830  0.002653 -0.000777    47.432
   0.09186  0.91167  0.02516  1.11107  0.121988  0.002658 -0.000776    45.894
   0.10852  0.89549  0.02915  1.11106  0.118074  0.002663 -0.000775    44.331
   0.12544  0.87905  0.03313  1.11106  0.114103  0.002669 -0.000774    42.745
   0.14250  0.86245  0.03708  1.11105  0.110089  0.002676 -0.000772    41.141
   0.15964  0.84577  0.04099  1.11103  0.106044  0.002683 -0.000771    39.523
   0.17681  0.82904  0.04484  1.11100  0.101972  0.002691 -0.000769    37.895
   0.19398  0.81229  0.04864  1.11097  0.097883  0.002699 -0.000767    36.260
   0.21115  0.79553  0.05238  1.11093  0.093783  0.002709 -0.000765    34.625
   0.22833  0.77875  0.05606  1.11088  0.089664  0.002718 -0.000763    32.986
   0.24546  0.76200  0.05967  1.11082  0.085537  0.002729 -0.000761    31.349
   0.26249  0.74535  0.06319  1.11075  0.081431  0.002739 -0.000759    29.727
   0.27941  0.72877  0.06660  1.11068  0.077367  0.002750 -0.000757    28.133
   0.29629  0.71222  0.06990  1.11060  0.073351  0.002761 -0.000755    26.571
   0.31313  0.69568  0.07308  1.11053  0.069379  0.002771 -0.000754    25.038
   0.32994  0.67915  0.07616  1.11046  0.065467  0.002781 -0.000752    23.542
   0.34670  0.66266  0.07911  1.11039  0.061609  0.002790 -0.000752    22.081
   0.36339  0.64620  0.08193  1.11033  0.057830  0.002799 -0.000751    20.663
   0.38005  0.62976  0.08462  1.11029  0.054132  0.002806 -0.000751    19.291
   0.39672  0.61329  0.08718  1.11027  0.050519  0.002812 -0.000752    17.965
   0.41338  0.59681  0.08962  1.11028  0.046980  0.002817 -0.000754    16.679
   0.42997  0.58038  0.09191  1.11033  0.043530  0.002820 -0.000756    15.439
   0.44649  0.56400  0.09406  1.11044  0.040198  0.002820 -0.000760    14.254
   0.46301  0.54760  0.09605  1.11062  0.036982  0.002818 -0.000766    13.124
   0.47954  0.53117  0.09790  1.11090  0.033868  0.002813 -0.000773    12.041
   0.49603  0.51477  0.09961  1.11130  0.030860  0.002804 -0.000783    11.005
   0.51242  0.49845  0.10115  1.11188  0.027996  0.002791 -0.000796    10.030
   0.52875  0.48218  0.10252  1.11268  0.025288  0.002773 -0.000813     9.118
   0.54509  0.46588  0.10371  1.11377  0.022723  0.002750 -0.000836     8.263
   0.56144  0.44957  0.10475  1.11523  0.020306  0.002720 -0.000867     7.465
   0.57774  0.43329  0.10561  1.11718  0.018048  0.002683 -0.000908     6.726
   0.59394  0.41711  0.10630  1.11973  0.015958  0.002638 -0.000964     6.049
   0.61007  0.40098  0.10679  1.12307  0.014069  0.002584 -0.001014     5.444
   0.62617  0.38489  0.10708  1.12738  0.012359  0.002521 -0.001004     4.903
   0.64227  0.36879  0.10718  1.13280  0.010851  0.002447 -0.000829     4.434
   0.65836  0.35270  0.10708  1.13931  0.009509  0.002365 -0.000369     4.021
   0.67432  0.33674  0.10680  1.14693  0.008327  0.002275  0.000459     3.660
   0.69010  0.32097  0.10629  1.15568  0.007360  0.002176  0.001554     3.383
   0.70583  0.30526  0.10554  1.16513  0.006580  0.002072  0.002794     3.176
   0.72167  0.28945  0.10454  1.17471  0.005950  0.001968  0.004077     3.023
   0.73747  0.27369  0.10335  1.18431  0.005377  0.001863  0.005608     2.886
   0.75302  0.25820  0.10195  1.19299  0.004895  0.001764  0.007222     2.775
   0.76841  0.24291  0.10027  1.20005  0.004507  0.001673  0.008749     2.693
   0.78386  0.22758  0.09831  1.20476  0.004231  0.001594  0.009804     2.654
   0.79934  0.21226  0.09610  1.20888  0.003950  0.001514  0.011104     2.609
   0.81467  0.19713  0.09366  1.21147  0.003698  0.001438  0.012401     2.572
   0.82983  0.18221  0.09095  1.21231  0.003477  0.001366  0.013606     2.545
   0.84493  0.16741  0.08797  1.21137  0.003288  0.001299  0.014587     2.532
   0.85995  0.15275  0.08473  1.20953  0.003096  0.001230  0.015709     2.517
   0.87475  0.13836  0.08125  1.20661  0.002895  0.001160  0.017138     2.496
   0.88915  0.12444  0.07757  1.20176  0.002698  0.001091  0.018763     2.474
   0.90314  0.11101  0.07364  1.19420  0.002522  0.001026  0.020256     2.459
   0.91683  0.09797  0.06946  1.18403  0.002384  0.000964  0.020912     2.474
   0.92993  0.08560  0.06517  1.17470  0.002189  0.000893  0.023133     2.451
   0.94206  0.07425  0.06087  1.16174  0.001981  0.000825  0.026588     2.402
   0.95332  0.06387  0.05649  1.14115  0.001859  0.000772  0.027710     2.406
   0.96371  0.05444  0.05215  1.12032  0.001746  0.000719  0.028346     2.427
   0.97301  0.04611  0.04801  1.10129  0.001595  0.000660  0.030803     2.417
   0.98119  0.03891  0.04412  1.07950  0.001449  0.000604  0.033889     2.398
   0.98837  0.03273  0.04046  1.05325  0.001319  0.000555  0.037123     2.376
