#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  1.12542  0.161075  0.002476 -0.000279    65.043
   0.00668  0.99360  0.00192  1.12530  0.157720  0.002496 -0.000834    63.183
   0.01807  0.98272  0.00530  1.12527  0.154303  0.002504 -0.000832    61.621
   0.03106  0.97032  0.00914  1.12525  0.150515  0.002512 -0.000829    59.914
   0.04516  0.95680  0.01317  1.12523  0.146575  0.002520 -0.000827    58.175
   0.06006  0.94246  0.01720  1.12522  0.142600  0.002526 -0.000825    56.461
   0.07565  0.92739  0.02118  1.12522  0.138627  0.002530 -0.000824    54.785
   0.09186  0.91167  0.02516  1.12523  0.134612  0.002534 -0.000823    53.112
   0.10852  0.89549  0.02915  1.12524  0.130513  0.002539 -0.000822    51.407
   0.12544  0.87905  0.03313  1.12524  0.126350  0.002544 -0.000821    49.670
   0.14250  0.86245  0.03708  1.12524  0.122136  0.002550 -0.000819    47.905
   0.15964  0.84577  0.04099  1.12523  0.117884  0.002556 -0.000817    46.119
   0.17681  0.82904  0.04484  1.12521  0.113599  0.002563 -0.000816    44.315
   0.19398  0.81229  0.04864  1.12519  0.109291  0.002572 -0.000813    42.497
   0.21115  0.79553  0.05238  1.12515  0.104964  0.002581 -0.000811    40.673
   0.22833  0.77875  0.05606  1.12511  0.100614  0.002591 -0.000809    38.840
   0.24546  0.76200  0.05967  1.12505  0.096248  0.002601 -0.000806    37.001
   0.26249  0.74535  0.06319  1.12498  0.091899  0.002612 -0.000803    35.177
   0.27941  0.72877  0.06660  1.12491  0.087585  0.002624 -0.000800    33.378
   0.29629  0.71222  0.06990  1.12483  0.083315  0.002636 -0.000798    31.610
   0.31313  0.69568  0.07308  1.12475  0.079083  0.002647 -0.000795    29.871
   0.32994  0.67915  0.07616  1.12466  0.074900  0.002659 -0.000793    28.168
   0.34670  0.66266  0.07911  1.12457  0.070770  0.002670 -0.000791    26.501
   0.36339  0.64620  0.08193  1.12448  0.066709  0.002681 -0.000789    24.878
   0.38005  0.62976  0.08462  1.12440  0.062725  0.002692 -0.000787    23.302
   0.39672  0.61329  0.08718  1.12433  0.058816  0.002701 -0.000786    21.774
   0.41338  0.59681  0.08962  1.12427  0.054975  0.002710 -0.000786    20.288
   0.42997  0.58038  0.09191  1.12423  0.051217  0.002717 -0.000786    18.850
   0.44649  0.56400  0.09406  1.12421  0.047565  0.002723 -0.000787    17.468
   0.46301  0.54760  0.09605  1.12424  0.044022  0.002727 -0.000790    16.144
   0.47954  0.53117  0.09790  1.12432  0.040573  0.002729 -0.000793    14.870
   0.49603  0.51477  0.09961  1.12447  0.037223  0.002728 -0.000798    13.645
   0.51242  0.49845  0.10115  1.12471  0.034002  0.002724 -0.000805    12.481
   0.52875  0.48218  0.10252  1.12509  0.030936  0.002717 -0.000815    11.386
   0.54509  0.46588  0.10371  1.12564  0.028004  0.002705 -0.000828    10.352
   0.56144  0.44957  0.10475  1.12641  0.025202  0.002688 -0.000845     9.374
   0.57774  0.43329  0.10561  1.12748  0.022544  0.002666 -0.000869     8.455
   0.59394  0.41711  0.10630  1.12894  0.020058  0.002638 -0.000900     7.605
   0.61007  0.40098  0.10679  1.13091  0.017757  0.002601 -0.000944     6.826
   0.62617  0.38489  0.10708  1.13354  0.015638  0.002557 -0.001002     6.116
   0.64227  0.36879  0.10718  1.13703  0.013705  0.002502 -0.001060     5.477
   0.65836  0.35270  0.10708  1.14160  0.011960  0.002438 -0.001052     4.906
   0.67432  0.33674  0.10680  1.14738  0.010399  0.002363 -0.000842     4.400
   0.69010  0.32097  0.10629  1.15428  0.009059  0.002281 -0.000299     3.972
   0.70583  0.30526  0.10554  1.16243  0.007945  0.002189  0.000583     3.630
   0.72167  0.28945  0.10454  1.17184  0.007030  0.002088  0.001716     3.368
   0.73747  0.27369  0.10335  1.18220  0.006226  0.001980  0.003176     3.145
   0.75302  0.25820  0.10195  1.19270  0.005552  0.001872  0.004856     2.966
   0.76841  0.24291  0.10027  1.20219  0.005038  0.001771  0.006438     2.845
   0.78386  0.22758  0.09831  1.21013  0.004653  0.001679  0.007739     2.772
   0.79934  0.21226  0.09610  1.21751  0.004279  0.001587  0.009312     2.696
   0.81467  0.19713  0.09366  1.22302  0.003975  0.001503  0.010718     2.644
   0.82983  0.18221  0.09095  1.22687  0.003713  0.001424  0.012028     2.607
   0.84493  0.16741  0.08797  1.22905  0.003492  0.001350  0.013116     2.586
   0.85995  0.15275  0.08473  1.23043  0.003269  0.001275  0.014385     2.564
   0.87475  0.13836  0.08125  1.23060  0.003050  0.001201  0.015826     2.540
   0.88915  0.12444  0.07757  1.22945  0.002817  0.001126  0.017815     2.503
   0.90314  0.11101  0.07364  1.22471  0.002641  0.001059  0.019107     2.494
   0.91683  0.09797  0.06946  1.21841  0.002487  0.000993  0.019967     2.505
   0.92993  0.08560  0.06517  1.21278  0.002278  0.000919  0.022308     2.478
   0.94206  0.07425  0.06087  1.20386  0.002056  0.000848  0.025965     2.424
   0.95332  0.06387  0.05649  1.18734  0.001936  0.000794  0.026838     2.437
   0.96371  0.05444  0.05215  1.17168  0.001809  0.000737  0.027855     2.453
   0.97301  0.04611  0.04801  1.15728  0.001652  0.000676  0.030495     2.442
   0.98119  0.03891  0.04412  1.14020  0.001494  0.000619  0.034197     2.414
   0.98837  0.03273  0.04046  1.11835  0.001374  0.000570  0.036561     2.411
   0.99470  0.02743  0.03701  1.09417  0.001239  0.000522  0.041118     2.374
   1.00030  0.02288  0.03375  1.06318  0.001148  0.000484  0.043220     2.373
   1.00527  0.01898  0.03066  1.03009  0.001052  0.000446  0.046304     2.359
   1.00973  0.01561  0.02774  0.99178  0.000962  0.000412  0.049874     2.335
   1.01375  0.01272  0.02495  0.94651  0.000889  0.000383  0.052275     2.320
   1.01739  0.01024  0.02228  0.89689  0.000832  0.000357  0.052441     2.330
   1.02073  0.00811  0.01971  0.84302  0.000754  0.000329  0.056181     2.295
   1.02380  0.00630  0.01724  0.77679  0.000703  0.000308  0.056412     2.278
   1.02664  0.00476  0.01485  0.70342  0.000662  0.000292  0.054617     2.270
   1.02926  0.00350  0.01255  0.62623  0.000626  0.000275  0.051100     2.277
   1.03171  0.00246  0.01033  0.54153  0.000581  0.000260  0.049321     2.238
   1.03400  0.00163  0.00819  0.44897  0.000567  0.000251  0.041028     2.260
   1.03618  0.00098  0.00612  0.35562  0.000526  0.000233  0.035299     2.254
   1.03826  0.00048  0.00410  0.24705  0.000504  0.000228  0.026657     2.207
   1.04024  0.00015  0.00214  0.13951  0.000519  0.000230  0.014053     2.253
   1.04215  0.00001  0.00024  0.02039  0.000401  0.000180  0.002712     2.230
   1.04400  0.00012 -0.00161 -0.14134  0.000401  0.000180  0.018780     2.230
   1.04587  0.00052 -0.00343 -0.28553  0.000436  0.000194  0.034269     2.250
   1.04780  0.00123 -0.00524 -0.43011  0.000431  0.000194  0.053963     2.215
   1.04986  0.00223 -0.00703 -0.55701  0.000484  0.000211  0.058158     2.290
   1.05205  0.00354 -0.00879 -0.66011  0.000527  0.000232  0.064552     2.268
   1.05438  0.00514 -0.01048 -0.74055  0.000603  0.000260  0.060192     2.322
