#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  1.07720  0.117932  0.002895 -0.000255    40.741
   0.00668  0.99360  0.00192  1.07699  0.114471  0.002920 -0.000687    39.199
   0.01807  0.98272  0.00530  1.07692  0.111325  0.002932 -0.000684    37.967
   0.03106  0.97032  0.00914  1.07684  0.107909  0.002944 -0.000682    36.655
   0.04516  0.95680  0.01317  1.07678  0.104418  0.002954 -0.000680    35.342
   0.06006  0.94246  0.01720  1.07674  0.100952  0.002963 -0.000678    34.067
   0.07565  0.92739  0.02118  1.07671  0.097535  0.002970 -0.000677    32.836
   0.09186  0.91167  0.02516  1.07670  0.094120  0.002976 -0.000676    31.622
   0.10852  0.89549  0.02915  1.07669  0.090658  0.002982 -0.000676    30.400
   0.12544  0.87905  0.03313  1.07668  0.087163  0.002988 -0.000675    29.170
   0.14250  0.86245  0.03708  1.07666  0.083642  0.002994 -0.000674    27.935
   0.15964  0.84577  0.04099  1.07665  0.080108  0.003000 -0.000674    26.699
   0.17681  0.82904  0.04484  1.07663  0.076564  0.003007 -0.000673    25.463
   0.19398  0.81229  0.04864  1.07661  0.073018  0.003013 -0.000673    24.231
   0.21115  0.79553  0.05238  1.07659  0.069475  0.003020 -0.000672    23.006
   0.22833  0.77875  0.05606  1.07656  0.065934  0.003026 -0.000672    21.786
   0.24546  0.76200  0.05967  1.07654  0.062397  0.003033 -0.000672    20.574
   0.26249  0.74535  0.06319  1.07652  0.058894  0.003039 -0.000672    19.380
   0.27941  0.72877  0.06660  1.07652  0.055451  0.003044 -0.000673    18.215
   0.29629  0.71222  0.06990  1.07653  0.052070  0.003048 -0.000674    17.081
   0.31313  0.69568  0.07308  1.07657  0.048750  0.003051 -0.000676    15.977
   0.32994  0.67915  0.07616  1.07664  0.045506  0.003053 -0.000679    14.907
   0.34670  0.66266  0.07911  1.07676  0.042337  0.003052 -0.000682    13.872
   0.36339  0.64620  0.08193  1.07694  0.039258  0.003049 -0.000687    12.874
   0.38005  0.62976  0.08462  1.07719  0.036288  0.003044 -0.000693    11.922
   0.39672  0.61329  0.08718  1.07755  0.033414  0.003035 -0.000701    11.009
   0.41338  0.59681  0.08962  1.07805  0.030641  0.003023 -0.000711    10.137
   0.42997  0.58038  0.09191  1.07869  0.027974  0.003007 -0.000725     9.304
   0.44649  0.56400  0.09406  1.07956  0.025449  0.002986 -0.000742     8.524
   0.46301  0.54760  0.09605  1.08069  0.023058  0.002959 -0.000764     7.791
   0.47954  0.53117  0.09790  1.08216  0.020797  0.002927 -0.000792     7.105
   0.49603  0.51477  0.09961  1.08404  0.018661  0.002888 -0.000831     6.461
   0.51242  0.49845  0.10115  1.08645  0.016691  0.002842 -0.000878     5.872
   0.52875  0.48218  0.10252  1.08951  0.014893  0.002788 -0.000911     5.341
   0.54509  0.46588  0.10371  1.09335  0.013272  0.002726 -0.000894     4.869
   0.56144  0.44957  0.10475  1.09807  0.011788  0.002654 -0.000746     4.441
   0.57774  0.43329  0.10561  1.10362  0.010480  0.002576 -0.000397     4.068
   0.59394  0.41711  0.10630  1.10999  0.009330  0.002491  0.000191     3.746
   0.61007  0.40098  0.10679  1.11729  0.008351  0.002397  0.000981     3.484
