#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  1.10128  0.141341  0.003585 -0.000267    39.423
   0.00667  0.99364  0.00201  1.10113  0.137942  0.003607 -0.000853    38.238
   0.01801  0.98283  0.00544  1.10108  0.134599  0.003617 -0.000851    37.211
   0.03089  0.97055  0.00931  1.10104  0.130936  0.003627 -0.000849    36.102
   0.04491  0.95712  0.01335  1.10101  0.127155  0.003635 -0.000848    34.978
   0.05974  0.94286  0.01740  1.10100  0.123362  0.003642 -0.000846    33.871
   0.07527  0.92786  0.02141  1.10100  0.119593  0.003647 -0.000846    32.792
   0.09142  0.91220  0.02541  1.10102  0.115799  0.003651 -0.000846    31.717
   0.10802  0.89609  0.02942  1.10104  0.111947  0.003655 -0.000845    30.632
   0.12488  0.87971  0.03341  1.10106  0.108050  0.003658 -0.000845    29.535
   0.14188  0.86318  0.03738  1.10108  0.104119  0.003662 -0.000845    28.430
   0.15896  0.84656  0.04130  1.10109  0.100161  0.003667 -0.000845    27.317
   0.17607  0.82989  0.04517  1.10111  0.096187  0.003671 -0.000845    26.201
   0.19318  0.81321  0.04899  1.10112  0.092204  0.003676 -0.000845    25.084
   0.21029  0.79652  0.05273  1.10114  0.088218  0.003681 -0.000845    23.969
   0.22743  0.77978  0.05643  1.10115  0.084224  0.003685 -0.000845    22.853
   0.24453  0.76308  0.06007  1.10116  0.080217  0.003690 -0.000846    21.737
   0.26151  0.74647  0.06361  1.10118  0.076239  0.003695 -0.000846    20.632
   0.27839  0.72994  0.06704  1.10120  0.072314  0.003699 -0.000847    19.547
   0.29522  0.71344  0.07036  1.10123  0.068439  0.003703 -0.000849    18.483
   0.31203  0.69694  0.07357  1.10129  0.064615  0.003705 -0.000850    17.439
   0.32881  0.68046  0.07667  1.10136  0.060854  0.003706 -0.000853    16.420
   0.34552  0.66401  0.07965  1.10147  0.057162  0.003706 -0.000856    15.425
   0.36216  0.64761  0.08250  1.10161  0.053555  0.003704 -0.000861    14.460
   0.37877  0.63123  0.08521  1.10181  0.050040  0.003699 -0.000866    13.528
   0.39539  0.61480  0.08779  1.10207  0.046621  0.003692 -0.000873    12.629
   0.41202  0.59836  0.09025  1.10241  0.043275  0.003682 -0.000881    11.754
   0.42857  0.58198  0.09257  1.10284  0.040038  0.003668 -0.000892    10.915
   0.44503  0.56566  0.09473  1.10341  0.036926  0.003651 -0.000905    10.114
   0.46148  0.54933  0.09674  1.10414  0.033944  0.003629 -0.000921     9.354
   0.47798  0.53293  0.09860  1.10507  0.031082  0.003602 -0.000942     8.630
   0.49446  0.51655  0.10033  1.10624  0.028326  0.003569 -0.000968     7.936
   0.51082  0.50026  0.10190  1.10771  0.025712  0.003530 -0.001002     7.283
   0.52710  0.48404  0.10328  1.10956  0.023274  0.003485 -0.001045     6.679
   0.54339  0.46779  0.10449  1.11188  0.020997  0.003431 -0.001099     6.120
   0.55971  0.45151  0.10554  1.11480  0.018879  0.003368 -0.001156     5.605
   0.57600  0.43525  0.10643  1.11840  0.016887  0.003297 -0.001176     5.122
   0.59218  0.41907  0.10713  1.12281  0.015098  0.003216 -0.001105     4.695
   0.60829  0.40298  0.10765  1.12808  0.013475  0.003125 -0.000847     4.311
   0.62434  0.38693  0.10796  1.13414  0.012043  0.003028 -0.000342     3.977
   0.64042  0.37085  0.10808  1.14111  0.010785  0.002922  0.000427     3.691
   0.65651  0.35476  0.10800  1.14905  0.009673  0.002806  0.001465     3.448
   0.67249  0.33878  0.10774  1.15776  0.008687  0.002682  0.002777     3.239
   0.68825  0.32303  0.10727  1.16674  0.007856  0.002558  0.004246     3.071
   0.70393  0.30737  0.10654  1.17540  0.007185  0.002437  0.005698     2.949
   0.71975  0.29158  0.10557  1.18346  0.006639  0.002321  0.007059     2.860
   0.73559  0.27578  0.10439  1.19123  0.006117  0.002206  0.008672     2.773
   0.75115  0.26028  0.10302  1.19827  0.005624  0.002093  0.010585     2.686
   0.76650  0.24502  0.10139  1.20307  0.005253  0.001995  0.012128     2.633
   0.78192  0.22972  0.09944  1.20599  0.004964  0.001906  0.013291     2.605
   0.79744  0.21436  0.09725  1.20814  0.004679  0.001816  0.014597     2.576
   0.81279  0.19920  0.09484  1.20945  0.004383  0.001727  0.016255     2.539
   0.82793  0.18429  0.09217  1.20844  0.004149  0.001645  0.017487     2.521
   0.84302  0.16950  0.08922  1.20628  0.003918  0.001565  0.018830     2.504
   0.85806  0.15481  0.08599  1.20243  0.003714  0.001486  0.019903     2.499
   0.87291  0.14036  0.08253  1.19799  0.003488  0.001404  0.021430     2.485
   0.88737  0.12638  0.07886  1.19220  0.003238  0.001319  0.023717     2.455
   0.90140  0.11290  0.07496  1.18268  0.003034  0.001242  0.025429     2.443
   0.91519  0.09977  0.07076  1.17055  0.002872  0.001169  0.026212     2.457
   0.92848  0.08721  0.06643  1.15888  0.002646  0.001085  0.028665     2.439
   0.94079  0.07568  0.06209  1.14390  0.002402  0.001003  0.032600     2.395
   0.95221  0.06515  0.05767  1.12152  0.002233  0.000937  0.034773     2.384
   0.96284  0.05550  0.05322  1.09650  0.002115  0.000876  0.034840     2.413
   0.97241  0.04692  0.04898  1.07477  0.001945  0.000805  0.037024     2.416
   0.98081  0.03952  0.04501  1.05156  0.001750  0.000733  0.041446     2.387
   0.98816  0.03319  0.04127  1.02234  0.001597  0.000672  0.044738     2.374
   0.99463  0.02777  0.03774  0.98846  0.001447  0.000617  0.049104     2.345
   1.00034  0.02313  0.03441  0.94806  0.001339  0.000572  0.051110     2.341
   1.00542  0.01915  0.03125  0.90448  0.001230  0.000529  0.053888     2.325
   1.00996  0.01574  0.02825  0.85583  0.001137  0.000490  0.055443     2.319
   1.01405  0.01281  0.02541  0.80221  0.001044  0.000454  0.057616     2.300
   1.01775  0.01030  0.02269  0.74242  0.000972  0.000422  0.057051     2.304
   1.02112  0.00816  0.02007  0.67396  0.000882  0.000393  0.060154     2.247
   1.02423  0.00634  0.01756  0.59690  0.000863  0.000376  0.052079     2.296
   1.02710  0.00481  0.01513  0.52038  0.000778  0.000346  0.052616     2.248
   1.02975  0.00353  0.01281  0.42982  0.000749  0.000334  0.045258     2.246
   1.03221  0.00250  0.01057  0.33775  0.000720  0.000322  0.037189     2.239
   1.03452  0.00166  0.00842  0.24465  0.000679  0.000300  0.027988     2.262
   1.03670  0.00100  0.00634  0.13915  0.000605  0.000271  0.018359     2.231
   1.03878  0.00049  0.00433  0.01754  0.000593  0.000266  0.002369     2.230
   1.04077  0.00014  0.00237 -0.10193  0.000593  0.000266  0.013764     2.230
