#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.97745  0.079166  0.011918 -0.000077     6.642
   0.00668  0.99360  0.00192  0.97968  0.075629  0.011687 -0.000079     6.471
   0.01807  0.98272  0.00530  0.98424  0.072752  0.011238 -0.000083     6.474
   0.03106  0.97032  0.00914  0.98983  0.069789  0.010711 -0.000087     6.516
   0.04516  0.95680  0.01317  0.99640  0.066926  0.010121 -0.000093     6.613
   0.06006  0.94246  0.01720  1.00395  0.064249  0.009478 -0.000099     6.778
   0.07565  0.92739  0.02118  1.01256  0.061773  0.008786 -0.000106     7.031
   0.09186  0.91167  0.02516  1.02233  0.059441  0.008043 -0.000115     7.390
   0.10852  0.89549  0.02915  1.03333  0.057187  0.007256 -0.000127     7.881
   0.12544  0.87905  0.03313  1.04565  0.054999  0.006429 -0.000143     8.554
   0.14250  0.86245  0.03708  1.05950  0.052856  0.005562 -0.000164     9.503
   0.15964  0.84577  0.04099  1.07553  0.050722  0.004630 -0.000197    10.954
   0.17681  0.82904  0.04484  1.09453  0.048542  0.003613 -0.000252    13.436
   0.19398  0.81229  0.04864  1.11887  0.046182  0.002419 -0.000275    19.090
   0.21115  0.79553  0.05238  1.13011  0.044164  0.001927 -0.000474    22.924
   0.22833  0.77875  0.05606  1.13020  0.042314  0.001926 -0.000475    21.973
   0.24546  0.76200  0.05967  1.13026  0.040307  0.001927 -0.000476    20.920
   0.26249  0.74535  0.06319  1.13029  0.038211  0.001929 -0.000476    19.810
   0.27941  0.72877  0.06660  1.13030  0.036073  0.001931 -0.000477    18.677
   0.29629  0.71222  0.06990  1.13032  0.033915  0.001934 -0.000478    17.536
   0.31313  0.69568  0.07308  1.13034  0.031749  0.001936 -0.000479    16.395
   0.32994  0.67915  0.07616  1.13038  0.029596  0.001938 -0.000480    15.269
   0.34670  0.66266  0.07911  1.13046  0.027461  0.001939 -0.000482    14.160
   0.36339  0.64620  0.08193  1.13058  0.025362  0.001939 -0.000485    13.078
   0.38005  0.62976  0.08462  1.13078  0.023322  0.001937 -0.000490    12.037
   0.39672  0.61329  0.08718  1.13108  0.021343  0.001934 -0.000495    11.038
   0.41338  0.59681  0.08962  1.13152  0.019420  0.001927 -0.000502    10.076
   0.42997  0.58038  0.09191  1.13214  0.017571  0.001918 -0.000512     9.159
   0.44649  0.56400  0.09406  1.13302  0.015819  0.001906 -0.000525     8.300
   0.46301  0.54760  0.09605  1.13422  0.014170  0.001890 -0.000543     7.499
   0.47954  0.53117  0.09790  1.13585  0.012629  0.001868 -0.000567     6.759
   0.49603  0.51477  0.09961  1.13802  0.011180  0.001842 -0.000600     6.068
   0.51242  0.49845  0.10115  1.14089  0.009864  0.001811 -0.000630     5.448
   0.52875  0.48218  0.10252  1.14463  0.008698  0.001772 -0.000622     4.907
   0.54509  0.46588  0.10371  1.14935  0.007669  0.001728 -0.000513     4.438
   0.56144  0.44957  0.10475  1.15500  0.006763  0.001678 -0.000235     4.030
   0.57774  0.43329  0.10561  1.16160  0.005988  0.001623  0.000228     3.689
   0.59394  0.41711  0.10630  1.16923  0.005327  0.001562  0.000864     3.410
   0.61007  0.40098  0.10679  1.17747  0.004804  0.001498  0.001561     3.206
   0.62617  0.38489  0.10708  1.18590  0.004369  0.001434  0.002308     3.048
   0.64227  0.36879  0.10718  1.19397  0.004018  0.001371  0.003037     2.931
   0.65836  0.35270  0.10708  1.20154  0.003718  0.001311  0.003778     2.837
   0.67432  0.33674  0.10680  1.20861  0.003439  0.001252  0.004619     2.748
   0.69010  0.32097  0.10629  1.21440  0.003207  0.001197  0.005422     2.679
   0.70583  0.30526  0.10554  1.21834  0.003035  0.001149  0.006015     2.641
   0.72167  0.28945  0.10454  1.22118  0.002887  0.001104  0.006524     2.616
   0.73747  0.27369  0.10335  1.22393  0.002721  0.001056  0.007263     2.576
   0.75302  0.25820  0.10195  1.22588  0.002544  0.001008  0.008248     2.523
   0.76841  0.24291  0.10027  1.22482  0.002418  0.000968  0.008915     2.497
   0.78386  0.22758  0.09831  1.22153  0.002328  0.000933  0.009248     2.496
   0.79934  0.21226  0.09610  1.21836  0.002216  0.000894  0.009869     2.479
   0.81467  0.19713  0.09366  1.21390  0.002104  0.000855  0.010556     2.461
   0.82983  0.18221  0.09095  1.20767  0.002001  0.000818  0.011214     2.446
   0.84493  0.16741  0.08797  1.19920  0.001923  0.000784  0.011502     2.453
   0.85995  0.15275  0.08473  1.19093  0.001820  0.000745  0.012195     2.443
   0.87475  0.13836  0.08125  1.18082  0.001723  0.000707  0.012827     2.438
   0.88915  0.12444  0.07757  1.16961  0.001607  0.000666  0.013981     2.413
   0.90314  0.11101  0.07364  1.15430  0.001509  0.000629  0.014886     2.400
   0.91683  0.09797  0.06946  1.13580  0.001441  0.000594  0.014959     2.425
   0.92993  0.08560  0.06517  1.11904  0.001341  0.000553  0.015816     2.426
   0.94206  0.07425  0.06087  1.09999  0.001191  0.000507  0.018905     2.348
   0.95332  0.06387  0.05649  1.06832  0.001138  0.000480  0.018784     2.372
   0.96371  0.05444  0.05215  1.03925  0.001065  0.000447  0.019293     2.384
   0.97301  0.04611  0.04801  1.01080  0.000981  0.000411  0.020363     2.385
   0.98119  0.03891  0.04412  0.97987  0.000884  0.000376  0.022621     2.352
   0.98837  0.03273  0.04046  0.94215  0.000816  0.000348  0.023649     2.348
   0.99470  0.02743  0.03701  0.90157  0.000747  0.000321  0.025130     2.330
   1.00030  0.02288  0.03375  0.85581  0.000689  0.000297  0.026151     2.318
   1.00527  0.01898  0.03066  0.80675  0.000641  0.000276  0.026371     2.324
   1.00973  0.01561  0.02774  0.75484  0.000584  0.000253  0.027506     2.307
   1.01375  0.01272  0.02495  0.69249  0.000532  0.000235  0.028873     2.263
   1.01739  0.01024  0.02228  0.62485  0.000513  0.000221  0.025636     2.319
   1.02073  0.00811  0.01971  0.55366  0.000450  0.000201  0.027967     2.236
   1.02380  0.00630  0.01724  0.46570  0.000442  0.000195  0.023313     2.265
   1.02664  0.00476  0.01485  0.37844  0.000413  0.000185  0.020959     2.229
   1.02926  0.00350  0.01255  0.28924  0.000395  0.000173  0.015837     2.289
   1.03171  0.00246  0.01033  0.18873  0.000341  0.000154  0.012742     2.221
   1.03400  0.00163  0.00819  0.07382  0.000359  0.000161  0.004700     2.230
   1.03618  0.00098  0.00612 -0.02773  0.000359  0.000161  0.001766     2.230
   1.03826  0.00048  0.00410 -0.15409  0.000292  0.000132  0.012211     2.214
   1.04024  0.00015  0.00214 -0.29808  0.000288  0.000128  0.023470     2.240
   1.04215  0.00001  0.00024 -0.44604  0.000275  0.000125  0.037652     2.211
   1.04400  0.00012 -0.00161 -0.61859  0.000254  0.000115  0.057140     2.202
   1.04587  0.00052 -0.00343 -0.76625  0.000279  0.000122  0.059407     2.289
   1.04780  0.00123 -0.00524 -0.89755  0.000288  0.000128  0.070386     2.243
   1.04986  0.00223 -0.00703 -1.00546  0.000325  0.000140  0.065224     2.317
   1.05205  0.00354 -0.00879 -1.07908  0.000371  0.000158  0.059651     2.348
   1.05438  0.00514 -0.01048 -1.13063  0.000423  0.000178  0.053169     2.379
   1.05689  0.00705 -0.01212 -1.16153  0.000491  0.000202  0.044482     2.434
