#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.97699  0.077731  0.012752 -0.000074     6.095
   0.00668  0.99360  0.00192  0.97920  0.074228  0.012524 -0.000077     5.927
   0.01807  0.98272  0.00530  0.98373  0.071381  0.012075 -0.000080     5.912
   0.03106  0.97032  0.00914  0.98930  0.068452  0.011547 -0.000084     5.928
   0.04516  0.95680  0.01317  0.99586  0.065628  0.010956 -0.000089     5.990
   0.06006  0.94246  0.01720  1.00341  0.062997  0.010311 -0.000094     6.109
   0.07565  0.92739  0.02118  1.01200  0.060576  0.009615 -0.000101     6.300
   0.09186  0.91167  0.02516  1.02175  0.058312  0.008869 -0.000109     6.575
   0.10852  0.89549  0.02915  1.03272  0.056137  0.008078 -0.000118     6.950
   0.12544  0.87905  0.03313  1.04498  0.054041  0.007247 -0.000131     7.457
   0.14250  0.86245  0.03708  1.05870  0.052008  0.006379 -0.000147     8.154
   0.15964  0.84577  0.04099  1.07417  0.050017  0.005466 -0.000171     9.150
   0.17681  0.82904  0.04484  1.09219  0.048020  0.004484 -0.000207    10.710
   0.19398  0.81229  0.04864  1.11388  0.045950  0.003398 -0.000272    13.521
   0.21115  0.79553  0.05238  1.14315  0.043624  0.002059 -0.000287    21.189
   0.22833  0.77875  0.05606  1.14652  0.041927  0.001924 -0.000483    21.791
   0.24546  0.76200  0.05967  1.14663  0.040117  0.001923 -0.000484    20.862
   0.26249  0.74535  0.06319  1.14670  0.038179  0.001923 -0.000484    19.849
   0.27941  0.72877  0.06660  1.14675  0.036171  0.001925 -0.000485    18.793
   0.29629  0.71222  0.06990  1.14679  0.034122  0.001926 -0.000486    17.713
   0.31313  0.69568  0.07308  1.14684  0.032048  0.001928 -0.000488    16.623
   0.32994  0.67915  0.07616  1.14690  0.029973  0.001929 -0.000489    15.536
   0.34670  0.66266  0.07911  1.14698  0.027898  0.001930 -0.000491    14.455
   0.36339  0.64620  0.08193  1.14711  0.025857  0.001930 -0.000494    13.400
   0.38005  0.62976  0.08462  1.14730  0.023856  0.001928 -0.000498    12.373
   0.39672  0.61329  0.08718  1.14759  0.021909  0.001924 -0.000503    11.384
   0.41338  0.59681  0.08962  1.14799  0.020004  0.001919 -0.000510    10.425
   0.42997  0.58038  0.09191  1.14855  0.018163  0.001911 -0.000519     9.504
   0.44649  0.56400  0.09406  1.14934  0.016412  0.001900 -0.000530     8.639
   0.46301  0.54760  0.09605  1.15042  0.014758  0.001885 -0.000546     7.829
   0.47954  0.53117  0.09790  1.15189  0.013193  0.001866 -0.000568     7.071
   0.49603  0.51477  0.09961  1.15383  0.011723  0.001842 -0.000598     6.363
   0.51242  0.49845  0.10115  1.15641  0.010375  0.001813 -0.000633     5.722
   0.52875  0.48218  0.10252  1.15978  0.009163  0.001778 -0.000647     5.152
   0.54509  0.46588  0.10371  1.16409  0.008084  0.001737 -0.000595     4.654
   0.56144  0.44957  0.10475  1.16940  0.007136  0.001690 -0.000404     4.223
   0.57774  0.43329  0.10561  1.17558  0.006299  0.001638 -0.000018     3.844
   0.59394  0.41711  0.10630  1.18281  0.005594  0.001581  0.000546     3.539
   0.61007  0.40098  0.10679  1.19085  0.005029  0.001519  0.001202     3.310
   0.62617  0.38489  0.10708  1.19943  0.004544  0.001455  0.001966     3.124
   0.64227  0.36879  0.10718  1.20774  0.004170  0.001392  0.002678     2.996
   0.65836  0.35270  0.10708  1.21593  0.003834  0.001330  0.003477     2.883
   0.67432  0.33674  0.10680  1.22351  0.003538  0.001270  0.004326     2.786
   0.69010  0.32097  0.10629  1.22996  0.003290  0.001214  0.005156     2.710
   0.70583  0.30526  0.10554  1.23465  0.003103  0.001165  0.005797     2.665
   0.72167  0.28945  0.10454  1.23791  0.002960  0.001119  0.006243     2.644
   0.73747  0.27369  0.10335  1.24183  0.002770  0.001069  0.007122     2.591
   0.75302  0.25820  0.10195  1.24417  0.002597  0.001022  0.008042     2.541
   0.76841  0.24291  0.10027  1.24386  0.002470  0.000982  0.008679     2.517
   0.78386  0.22758  0.09831  1.24185  0.002367  0.000944  0.009135     2.508
   0.79934  0.21226  0.09610  1.23929  0.002257  0.000905  0.009709     2.493
   0.81467  0.19713  0.09366  1.23589  0.002139  0.000866  0.010451     2.472
   0.82983  0.18221  0.09095  1.23056  0.002035  0.000828  0.011109     2.457
   0.84493  0.16741  0.08797  1.22301  0.001959  0.000794  0.011345     2.467
