#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.98316  0.079446  0.012651 -0.000075     6.280
   0.00668  0.99360  0.00192  0.98529  0.075943  0.012429 -0.000077     6.110
   0.01807  0.98272  0.00530  0.98964  0.073085  0.011994 -0.000080     6.093
   0.03106  0.97032  0.00914  0.99497  0.070134  0.011484 -0.000084     6.107
   0.04516  0.95680  0.01317  1.00123  0.067281  0.010914 -0.000089     6.165
   0.06006  0.94246  0.01720  1.00840  0.064612  0.010292 -0.000094     6.278
   0.07565  0.92739  0.02118  1.01654  0.062146  0.009624 -0.000100     6.458
   0.09186  0.91167  0.02516  1.02574  0.059829  0.008908 -0.000108     6.716
   0.10852  0.89549  0.02915  1.03604  0.057597  0.008152 -0.000117     7.066
   0.12544  0.87905  0.03313  1.04749  0.055441  0.007361 -0.000129     7.532
   0.14250  0.86245  0.03708  1.06020  0.053348  0.006537 -0.000144     8.160
   0.15964  0.84577  0.04099  1.07442  0.051302  0.005678 -0.000165     9.035
   0.17681  0.82904  0.04484  1.09067  0.049268  0.004766 -0.000195    10.338
   0.19398  0.81229  0.04864  1.10976  0.047196  0.003777 -0.000246    12.495
   0.21115  0.79553  0.05238  1.13362  0.044983  0.002647 -0.000283    16.992
   0.22833  0.77875  0.05606  1.15103  0.042886  0.001909 -0.000488    22.461
   0.24546  0.76200  0.05967  1.15115  0.041118  0.001908 -0.000489    21.553
   0.26249  0.74535  0.06319  1.15123  0.039195  0.001908 -0.000490    20.541
   0.27941  0.72877  0.06660  1.15128  0.037191  0.001909 -0.000490    19.478
   0.29629  0.71222  0.06990  1.15132  0.035133  0.001911 -0.000491    18.383
   0.31313  0.69568  0.07308  1.15135  0.033047  0.001913 -0.000492    17.275
   0.32994  0.67915  0.07616  1.15140  0.030951  0.001915 -0.000494    16.165
   0.34670  0.66266  0.07911  1.15146  0.028856  0.001916 -0.000495    15.060
   0.36339  0.64620  0.08193  1.15156  0.026783  0.001916 -0.000498    13.975
   0.38005  0.62976  0.08462  1.15171  0.024750  0.001916 -0.000501    12.920
