#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.99022  0.081469  0.015824 -0.000062     5.148
   0.00668  0.99360  0.00192  0.99201  0.078376  0.015624 -0.000062     5.016
   0.01807  0.98272  0.00530  0.99567  0.075520  0.015228 -0.000064     4.959
   0.03106  0.97032  0.00914  1.00013  0.072496  0.014763 -0.000065     4.911
   0.04516  0.95680  0.01317  1.00535  0.069524  0.014243 -0.000068     4.881
   0.06006  0.94246  0.01720  1.01132  0.066716  0.013675 -0.000071     4.879
   0.07565  0.92739  0.02118  1.01809  0.064102  0.013061 -0.000075     4.908
   0.09186  0.91167  0.02516  1.02571  0.061639  0.012403 -0.000081     4.969
   0.10852  0.89549  0.02915  1.03416  0.059273  0.011710 -0.000087     5.062
   0.12544  0.87905  0.03313  1.04346  0.057007  0.010987 -0.000094     5.189
   0.14250  0.86245  0.03708  1.05364  0.054841  0.010239 -0.000103     5.356
   0.15964  0.84577  0.04099  1.06476  0.052771  0.009468 -0.000112     5.574
   0.17681  0.82904  0.04484  1.07695  0.050790  0.008673 -0.000122     5.856
   0.19398  0.81229  0.04864  1.09034  0.048892  0.007854 -0.000134     6.225
   0.21115  0.79553  0.05238  1.10515  0.047066  0.007007 -0.000148     6.717
   0.22833  0.77875  0.05606  1.12168  0.045285  0.006126 -0.000166     7.392
   0.24546  0.76200  0.05967  1.14031  0.043524  0.005208 -0.000193     8.357
   0.26249  0.74535  0.06319  1.16195  0.041756  0.004227 -0.000236     9.878
   0.27941  0.72877  0.06660  1.18809  0.039926  0.003147 -0.000310    12.685
   0.29629  0.71222  0.06990  1.22273  0.037857  0.001850 -0.000536    20.459
   0.31313  0.69568  0.07308  1.22298  0.036446  0.001845 -0.000539    19.750
   0.32994  0.67915  0.07616  1.22316  0.034849  0.001842 -0.000541    18.916
   0.34670  0.66266  0.07911  1.22332  0.033124  0.001841 -0.000542    17.995
   0.36339  0.64620  0.08193  1.22345  0.031332  0.001840 -0.000544    17.031
   0.38005  0.62976  0.08462  1.22359  0.029498  0.001839 -0.000546    16.042
   0.39672  0.61329  0.08718  1.22375  0.027644  0.001838 -0.000549    15.042
   0.41338  0.59681  0.08962  1.22393  0.025767  0.001836 -0.000552    14.031
   0.42997  0.58038  0.09191  1.22415  0.023895  0.001834 -0.000556    13.027
   0.44649  0.56400  0.09406  1.22445  0.022057  0.001831 -0.000561    12.047
   0.46301  0.54760  0.09605  1.22485  0.020255  0.001826 -0.000567    11.094
   0.47954  0.53117  0.09790  1.22540  0.018499  0.001819 -0.000576    10.172
   0.49603  0.51477  0.09961  1.22613  0.016777  0.001809 -0.000587     9.273
   0.51242  0.49845  0.10115  1.22710  0.015130  0.001797 -0.000602     8.420
   0.52875  0.48218  0.10252  1.22843  0.013584  0.001781 -0.000621     7.628
   0.54509  0.46588  0.10371  1.23021  0.012135  0.001761 -0.000648     6.893
   0.56144  0.44957  0.10475  1.23256  0.010769  0.001736 -0.000684     6.204
   0.57774  0.43329  0.10561  1.23565  0.009508  0.001705 -0.000724     5.575
   0.59394  0.41711  0.10630  1.23967  0.008367  0.001669 -0.000727     5.012
   0.61007  0.40098  0.10679  1.24475  0.007363  0.001627 -0.000631     4.525
   0.62617  0.38489  0.10708  1.25091  0.006485  0.001580 -0.000353     4.105
   0.64227  0.36879  0.10718  1.25810  0.005740  0.001528  0.000131     3.757
   0.65836  0.35270  0.10708  1.26648  0.005098  0.001470  0.000821     3.469
   0.67432  0.33674  0.10680  1.27582  0.004550  0.001407  0.001687     3.234
   0.69010  0.32097  0.10629  1.28545  0.004103  0.001344  0.002637     3.054
   0.70583  0.30526  0.10554  1.29435  0.003774  0.001284  0.003460     2.940
   0.72167  0.28945  0.10454  1.30257  0.003506  0.001227  0.004220     2.858
   0.73747  0.27369  0.10335  1.31062  0.003243  0.001170  0.005153     2.772
   0.75302  0.25820  0.10195  1.31790  0.002995  0.001114  0.006238     2.688
   0.76841  0.24291  0.10027  1.32284  0.002812  0.001066  0.007077     2.638
   0.78386  0.22758  0.09831  1.32556  0.002687  0.001024  0.007541     2.624
