#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  1.11840  0.152117  0.002198 -0.000275    69.207
   0.00668  0.99360  0.00192  1.11940  0.148604  0.002060 -0.000753    72.122
   0.01807  0.98272  0.00530  1.11937  0.145273  0.002069 -0.000750    70.230
   0.03106  0.97032  0.00914  1.11934  0.141594  0.002077 -0.000747    68.177
   0.04516  0.95680  0.01317  1.11931  0.137779  0.002084 -0.000745    66.098
   0.06006  0.94246  0.01720  1.11929  0.133940  0.002091 -0.000743    64.061
   0.07565  0.92739  0.02118  1.11929  0.130111  0.002096 -0.000741    62.078
   0.09186  0.91167  0.02516  1.11929  0.126247  0.002100 -0.000740    60.105
   0.10852  0.89549  0.02915  1.11929  0.122304  0.002105 -0.000738    58.094
   0.12544  0.87905  0.03313  1.11929  0.118300  0.002111 -0.000737    56.045
   0.14250  0.86245  0.03708  1.11928  0.114248  0.002117 -0.000735    53.963
   0.15964  0.84577  0.04099  1.11925  0.110158  0.002124 -0.000733    51.854
   0.17681  0.82904  0.04484  1.11922  0.106039  0.002133 -0.000730    49.724
   0.19398  0.81229  0.04864  1.11918  0.101896  0.002142 -0.000728    47.579
   0.21115  0.79553  0.05238  1.11913  0.097737  0.002152 -0.000725    45.427
   0.22833  0.77875  0.05606  1.11906  0.093556  0.002162 -0.000721    43.266
   0.24546  0.76200  0.05967  1.11898  0.089361  0.002174 -0.000718    41.103
   0.26249  0.74535  0.06319  1.11889  0.085179  0.002187 -0.000715    38.957
   0.27941  0.72877  0.06660  1.11879  0.081039  0.002199 -0.000711    36.848
   0.29629  0.71222  0.06990  1.11868  0.076941  0.002212 -0.000708    34.779
   0.31313  0.69568  0.07308  1.11856  0.072884  0.002225 -0.000704    32.750
   0.32994  0.67915  0.07616  1.11844  0.068877  0.002239 -0.000701    30.768
   0.34670  0.66266  0.07911  1.11830  0.064923  0.002252 -0.000698    28.834
   0.36339  0.64620  0.08193  1.11817  0.061037  0.002264 -0.000695    26.956
   0.38005  0.62976  0.08462  1.11804  0.057234  0.002276 -0.000693    25.142
   0.39672  0.61329  0.08718  1.11791  0.053501  0.002288 -0.000691    23.385
   0.41338  0.59681  0.08962  1.11779  0.049843  0.002298 -0.000689    21.685
   0.42997  0.58038  0.09191  1.11768  0.046267  0.002308 -0.000688    20.044
   0.44649  0.56400  0.09406  1.11760  0.042800  0.002317 -0.000688    18.476
   0.46301  0.54760  0.09605  1.11755  0.039442  0.002323 -0.000689    16.979
   0.47954  0.53117  0.09790  1.11755  0.036179  0.002328 -0.000691    15.543
   0.49603  0.51477  0.09961  1.11761  0.033015  0.002330 -0.000695    14.169
   0.51242  0.49845  0.10115  1.11776  0.029991  0.002330 -0.000700    12.873
   0.52875  0.48218  0.10252  1.11805  0.027109  0.002326 -0.000708    11.656
   0.54509  0.46588  0.10371  1.11852  0.024374  0.002318 -0.000719    10.516
   0.56144  0.44957  0.10475  1.11922  0.021765  0.002305 -0.000734     9.442
   0.57774  0.43329  0.10561  1.12025  0.019308  0.002287 -0.000755     8.443
   0.59394  0.41711  0.10630  1.12170  0.017015  0.002262 -0.000784     7.521
   0.61007  0.40098  0.10679  1.12374  0.014923  0.002230 -0.000826     6.691
   0.62617  0.38489  0.10708  1.12653  0.013011  0.002190 -0.000882     5.940
   0.64227  0.36879  0.10718  1.13033  0.011293  0.002141 -0.000922     5.275
   0.65836  0.35270  0.10708  1.13536  0.009759  0.002081 -0.000862     4.690
   0.67432  0.33674  0.10680  1.14171  0.008410  0.002012 -0.000534     4.180
   0.69010  0.32097  0.10629  1.14926  0.007279  0.001936  0.000157     3.760
   0.70583  0.30526  0.10554  1.15817  0.006382  0.001850  0.001113     3.450
   0.72167  0.28945  0.10454  1.16816  0.005647  0.001758  0.002274     3.213
   0.73747  0.27369  0.10335  1.17877  0.005005  0.001662  0.003716     3.012
   0.75302  0.25820  0.10195  1.18875  0.004496  0.001570  0.005211     2.864
   0.76841  0.24291  0.10027  1.19732  0.004098  0.001485  0.006629     2.759
   0.78386  0.22758  0.09831  1.20377  0.003809  0.001410  0.007706     2.701
   0.79934  0.21226  0.09610  1.20944  0.003529  0.001336  0.008979     2.642
   0.81467  0.19713  0.09366  1.21327  0.003291  0.001267  0.010161     2.598
   0.82983  0.18221  0.09095  1.21537  0.003083  0.001202  0.011283     2.565
   0.84493  0.16741  0.08797  1.21550  0.002913  0.001142  0.012124     2.551
   0.85995  0.15275  0.08473  1.21490  0.002737  0.001080  0.013132     2.535
   0.87475  0.13836  0.08125  1.21322  0.002557  0.001017  0.014377     2.513
   0.88915  0.12444  0.07757  1.20983  0.002375  0.000956  0.015900     2.485
   0.90314  0.11101  0.07364  1.20348  0.002216  0.000898  0.017244     2.469
   0.91683  0.09797  0.06946  1.19446  0.002095  0.000844  0.017842     2.483
   0.92993  0.08560  0.06517  1.18628  0.001927  0.000782  0.019648     2.464
   0.94206  0.07425  0.06087  1.17516  0.001735  0.000721  0.022904     2.407
   0.95332  0.06387  0.05649  1.15572  0.001631  0.000676  0.023789     2.414
   0.96371  0.05444  0.05215  1.13650  0.001534  0.000629  0.024249     2.439
   0.97301  0.04611  0.04801  1.11942  0.001395  0.000576  0.026778     2.421
   0.98119  0.03891  0.04412  1.09865  0.001272  0.000529  0.029255     2.406
   0.98837  0.03273  0.04046  1.07464  0.001165  0.000486  0.031500     2.398
   0.99470  0.02743  0.03701  1.04717  0.001051  0.000445  0.035221     2.363
   1.00030  0.02288  0.03375  1.01250  0.000970  0.000412  0.037209     2.354
