#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  1.09168  0.130525  0.002214 -0.000262    58.949
   0.00668  0.99360  0.00192  1.09150  0.127089  0.002238 -0.000677    56.782
   0.01807  0.98272  0.00530  1.09143  0.123857  0.002249 -0.000674    55.066
   0.03106  0.97032  0.00914  1.09137  0.120327  0.002261 -0.000671    53.228
   0.04516  0.95680  0.01317  1.09131  0.116699  0.002271 -0.000668    51.387
   0.06006  0.94246  0.01720  1.09126  0.113078  0.002280 -0.000666    49.594
   0.07565  0.92739  0.02118  1.09123  0.109490  0.002288 -0.000664    47.860
   0.09186  0.91167  0.02516  1.09121  0.105890  0.002295 -0.000662    46.148
   0.10852  0.89549  0.02915  1.09119  0.102231  0.002302 -0.000661    44.417
   0.12544  0.87905  0.03313  1.09116  0.098527  0.002309 -0.000659    42.668
   0.14250  0.86245  0.03708  1.09112  0.094789  0.002317 -0.000657    40.906
   0.15964  0.84577  0.04099  1.09108  0.091028  0.002326 -0.000655    39.137
   0.17681  0.82904  0.04484  1.09102  0.087248  0.002335 -0.000653    37.363
   0.19398  0.81229  0.04864  1.09096  0.083459  0.002345 -0.000651    35.590
   0.21115  0.79553  0.05238  1.09089  0.079664  0.002355 -0.000648    33.822
   0.22833  0.77875  0.05606  1.09081  0.075860  0.002366 -0.000646    32.060
   0.24546  0.76200  0.05967  1.09071  0.072055  0.002378 -0.000644    30.306
   0.26249  0.74535  0.06319  1.09061  0.068275  0.002389 -0.000642    28.576
   0.27941  0.72877  0.06660  1.09050  0.064545  0.002401 -0.000639    26.884
   0.29629  0.71222  0.06990  1.09039  0.060867  0.002412 -0.000638    25.234
   0.31313  0.69568  0.07308  1.09029  0.057244  0.002423 -0.000636    23.625
   0.32994  0.67915  0.07616  1.09018  0.053685  0.002433 -0.000635    22.063
   0.34670  0.66266  0.07911  1.09009  0.050191  0.002443 -0.000634    20.547
   0.36339  0.64620  0.08193  1.09000  0.046778  0.002451 -0.000634    19.084
   0.38005  0.62976  0.08462  1.08994  0.043459  0.002458 -0.000634    17.678
   0.39672  0.61329  0.08718  1.08992  0.040227  0.002464 -0.000635    16.327
   0.41338  0.59681  0.08962  1.08994  0.037084  0.002468 -0.000637    15.029
   0.42997  0.58038  0.09191  1.09002  0.034034  0.002469 -0.000641    13.783
   0.44649  0.56400  0.09406  1.09018  0.031118  0.002468 -0.000646    12.609
   0.46301  0.54760  0.09605  1.09046  0.028313  0.002464 -0.000653    11.493
   0.47954  0.53117  0.09790  1.09090  0.025636  0.002455 -0.000662    10.441
   0.49603  0.51477  0.09961  1.09153  0.023063  0.002443 -0.000675     9.440
   0.51242  0.49845  0.10115  1.09243  0.020653  0.002426 -0.000693     8.514
   0.52875  0.48218  0.10252  1.09368  0.018400  0.002403 -0.000717     7.658
   0.54509  0.46588  0.10371  1.09540  0.016322  0.002373 -0.000750     6.879
   0.56144  0.44957  0.10475  1.09772  0.014381  0.002336 -0.000795     6.157
   0.57774  0.43329  0.10561  1.10080  0.012611  0.002290 -0.000841     5.506
   0.59394  0.41711  0.10630  1.10484  0.011034  0.002236 -0.000837     4.934
   0.61007  0.40098  0.10679  1.10997  0.009636  0.002173 -0.000686     4.434
   0.62617  0.38489  0.10708  1.11616  0.008438  0.002103 -0.000294     4.013
   0.64227  0.36879  0.10718  1.12345  0.007413  0.002024  0.000374     3.663
   0.65836  0.35270  0.10708  1.13193  0.006552  0.001937  0.001282     3.383
   0.67432  0.33674  0.10680  1.14127  0.005810  0.001844  0.002433     3.151
   0.69010  0.32097  0.10629  1.15060  0.005221  0.001751  0.003653     2.981
   0.70583  0.30526  0.10554  1.15919  0.004761  0.001664  0.004816     2.861
   0.72167  0.28945  0.10454  1.16642  0.004421  0.001585  0.005744     2.790
   0.73747  0.27369  0.10335  1.17371  0.004053  0.001502  0.007090     2.698
   0.75302  0.25820  0.10195  1.17924  0.003744  0.001426  0.008419     2.625
   0.76841  0.24291  0.10027  1.18241  0.003504  0.001360  0.009524     2.577
   0.78386  0.22758  0.09831  1.18328  0.003326  0.001301  0.010266     2.557
   0.79934  0.21226  0.09610  1.18353  0.003137  0.001240  0.011222     2.530
   0.81467  0.19713  0.09366  1.18243  0.002953  0.001181  0.012293     2.501
   0.82983  0.18221  0.09095  1.17916  0.002797  0.001126  0.013178     2.484
   0.84493  0.16741  0.08797  1.17411  0.002663  0.001074  0.013829     2.480
   0.85995  0.15275  0.08473  1.16851  0.002509  0.001017  0.014837     2.466
   0.87475  0.13836  0.08125  1.16097  0.002367  0.000963  0.015737     2.459
   0.88915  0.12444  0.07757  1.15233  0.002198  0.000905  0.017327     2.430
   0.90314  0.11101  0.07364  1.13957  0.002063  0.000853  0.018445     2.420
   0.91683  0.09797  0.06946  1.12420  0.001959  0.000803  0.018766     2.440
   0.92993  0.08560  0.06517  1.10988  0.001802  0.000744  0.020514     2.422
   0.94206  0.07425  0.06087  1.09142  0.001626  0.000686  0.023563     2.369
   0.95332  0.06387  0.05649  1.06392  0.001526  0.000644  0.024501     2.369
   0.96371  0.05444  0.05215  1.03576  0.001447  0.000602  0.024328     2.402
   0.97301  0.04611  0.04801  1.01071  0.001312  0.000551  0.026702     2.382
   0.98119  0.03891  0.04412  0.98096  0.001198  0.000506  0.028741     2.369
   0.98837  0.03273  0.04046  0.94710  0.001091  0.000464  0.031069     2.349
   0.99470  0.02743  0.03701  0.90803  0.001002  0.000429  0.032797     2.337
   1.00030  0.02288  0.03375  0.86479  0.000922  0.000396  0.034339     2.326
   1.00527  0.01898  0.03066  0.81713  0.000850  0.000367  0.035507     2.317
   1.00973  0.01561  0.02774  0.76447  0.000781  0.000340  0.036634     2.301
   1.01375  0.01272  0.02495  0.70581  0.000724  0.000315  0.036751     2.295
   1.01739  0.01024  0.02228  0.63950  0.000666  0.000295  0.037383     2.260
   1.02073  0.00811  0.01971  0.56904  0.000639  0.000276  0.033080     2.310
   1.02380  0.00630  0.01724  0.49290  0.000562  0.000252  0.035017     2.231
   1.02664  0.00476  0.01485  0.39877  0.000560  0.000251  0.028373     2.234
   1.02926  0.00350  0.01255  0.31537  0.000529  0.000230  0.022265     2.303
   1.03171  0.00246  0.01033  0.21712  0.000448  0.000202  0.019608     2.218
   1.03400  0.00163  0.00819  0.10036  0.000474  0.000212  0.008476     2.230
   1.03618  0.00098  0.00612 -0.00171  0.000474  0.000213  0.000143     2.230
   1.03826  0.00048  0.00410 -0.11315  0.000429  0.000192  0.010551     2.232
   1.04024  0.00015  0.00214 -0.26375  0.000351  0.000160  0.031043     2.194
   1.04215  0.00001  0.00024 -0.41483  0.000373  0.000164  0.042716     2.275
   1.04400  0.00012 -0.00161 -0.56734  0.000350  0.000160  0.067238     2.189
   1.04587  0.00052 -0.00343 -0.73038  0.000353  0.000157  0.081769     2.244
   1.04780  0.00123 -0.00524 -0.85366  0.000399  0.000173  0.079972     2.305
   1.04986  0.00223 -0.00703 -0.95790  0.000428  0.000188  0.085662     2.279
   1.05205  0.00354 -0.00879 -1.04234  0.000481  0.000207  0.079328     2.327
   1.05438  0.00514 -0.01048 -1.09948  0.000550  0.000232  0.070222     2.370
   1.05689  0.00705 -0.01212 -1.12896  0.000653  0.000266  0.055965     2.450
   1.05960  0.00924 -0.01371 -1.14645  0.000745  0.000302  0.048921     2.468
   1.06254  0.01171 -0.01530 -1.15886  0.000838  0.000337  0.043293     2.483
   1.06576  0.01450 -0.01689 -1.16981  0.000922  0.000372  0.039793     2.480
   1.06931  0.01766 -0.01852 -1.17869  0.001015  0.000407  0.036042     2.491
   1.07328  0.02125 -0.02021 -1.18754  0.001100  0.000442  0.033697     2.485
   1.07773  0.02534 -0.02197 -1.19599  0.001190  0.000479  0.031353     2.486
   1.08275  0.03002 -0.02380 -1.20574  0.001271  0.000514  0.030040     2.471
   1.08845  0.03539 -0.02569 -1.21443  0.001372  0.000553  0.027814     2.479
   1.09493  0.04158 -0.02763 -1.22086  0.001493  0.000598  0.025150     2.499
   1.10237  0.04875 -0.02960 -1.22495  0.001632  0.000647  0.022526     2.522
   1.11095  0.05710 -0.03158 -1.22414  0.001824  0.000709  0.019009     2.574
   1.12083  0.06678 -0.03358 -1.22059  0.002029  0.000777  0.016328     2.612
   1.13204  0.07781 -0.03556 -1.21717  0.002213  0.000846  0.014849     2.616
   1.14448  0.09010 -0.03747 -1.21216  0.002434  0.000922  0.013062     2.641
   1.15809  0.10359 -0.03926 -1.20620  0.002666  0.001001  0.011543     2.664
   1.17266  0.11806 -0.04096 -1.20170  0.002853  0.001075  0.010886     2.653
   1.18781  0.13314 -0.04249 -1.19889  0.003009  0.001144  0.010569     2.631
   1.20335  0.14862 -0.04385 -1.19611  0.003187  0.001212  0.009981     2.629
   1.21923  0.16445 -0.04503 -1.19362  0.003359  0.001278  0.009465     2.628
   1.23540  0.18059 -0.04604 -1.19061  0.003551  0.001345  0.008809     2.639
   1.25175  0.19691 -0.04691 -1.18891  0.003688  0.001405  0.008608     2.626
   1.26813  0.21328 -0.04763 -1.18734  0.003832  0.001463  0.008328     2.620
   1.28457  0.22971 -0.04819 -1.18563  0.003986  0.001520  0.007975     2.622
   1.30115  0.24629 -0.04860 -1.18409  0.004132  0.001576  0.007684     2.622
   1.31783  0.26296 -0.04890 -1.18238  0.004285  0.001631  0.007358     2.627
   1.33448  0.27961 -0.04908 -1.18135  0.004403  0.001681  0.007221     2.619
   1.35110  0.29624 -0.04912 -1.17992  0.004546  0.001733  0.006952     2.623
   1.36778  0.31291 -0.04903 -1.17824  0.004699  0.001786  0.006647     2.632
