#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.90174  0.039124  0.012611  0.000076     3.102
   0.00668  0.99360  0.00192  0.90601  0.036700  0.012313  0.000110     2.981
   0.01807  0.98272  0.00530  0.91321  0.034358  0.011838  0.000144     2.902
   0.03106  0.97032  0.00914  0.92214  0.032004  0.011287  0.000179     2.835
   0.04516  0.95680  0.01317  0.93251  0.029888  0.010692  0.000206     2.795
   0.06006  0.94246  0.01720  0.94404  0.028132  0.010077  0.000217     2.792
   0.07565  0.92739  0.02118  0.95669  0.026760  0.009448  0.000207     2.832
   0.09186  0.91167  0.02516  0.97073  0.025715  0.008797  0.000179     2.923
   0.10852  0.89549  0.02915  0.98657  0.024917  0.008111  0.000139     3.072
   0.12544  0.87905  0.03313  1.00471  0.024336  0.007378  0.000077     3.298
   0.14250  0.86245  0.03708  1.02605  0.023934  0.006576 -0.000004     3.639
   0.15964  0.84577  0.04099  1.05256  0.023646  0.005655 -0.000100     4.181
   0.17681  0.82904  0.04484  1.08159  0.023449  0.004729 -0.000159     4.959
   0.19398  0.81229  0.04864  1.11388  0.023266  0.003786 -0.000194     6.145
   0.21115  0.79553  0.05238  1.15192  0.022978  0.002778 -0.000246     8.272
   0.22833  0.77875  0.05606  1.20119  0.022352  0.001598 -0.000310    13.988
   0.24546  0.76200  0.05967  1.19473  0.022021  0.001752 -0.000399    12.572
   0.26249  0.74535  0.06319  1.19537  0.021302  0.001740 -0.000402    12.240
   0.27941  0.72877  0.06660  1.19595  0.020417  0.001731 -0.000406    11.795
   0.29629  0.71222  0.06990  1.19652  0.019419  0.001722 -0.000410    11.275
   0.31313  0.69568  0.07308  1.19709  0.018341  0.001714 -0.000414    10.701
   0.32994  0.67915  0.07616  1.19771  0.017210  0.001705 -0.000419    10.091
   0.34670  0.66266  0.07911  1.19840  0.016045  0.001696 -0.000425     9.458
   0.36339  0.64620  0.08193  1.19920  0.014868  0.001686 -0.000432     8.818
   0.38005  0.62976  0.08462  1.20017  0.013708  0.001674 -0.000441     8.187
   0.39672  0.61329  0.08718  1.20136  0.012572  0.001661 -0.000453     7.570
   0.41338  0.59681  0.08962  1.20283  0.011459  0.001645 -0.000468     6.967
   0.42997  0.58038  0.09191  1.20465  0.010386  0.001626 -0.000487     6.387
   0.44649  0.56400  0.09406  1.20693  0.009379  0.001604 -0.000512     5.847
   0.46301  0.54760  0.09605  1.20979  0.008447  0.001578 -0.000534     5.352
   0.47954  0.53117  0.09790  1.21335  0.007588  0.001549 -0.000536     4.900
   0.49603  0.51477  0.09961  1.21768  0.006791  0.001515 -0.000480     4.483
   0.51242  0.49845  0.10115  1.22275  0.006083  0.001478 -0.000323     4.116
   0.52875  0.48218  0.10252  1.22850  0.005478  0.001438 -0.000052     3.810
   0.54509  0.46588  0.10371  1.23508  0.004964  0.001394  0.000320     3.562
   0.56144  0.44957  0.10475  1.24238  0.004517  0.001346  0.000783     3.356
   0.57774  0.43329  0.10561  1.25011  0.004135  0.001297  0.001306     3.188
   0.59394  0.41711  0.10630  1.25797  0.003807  0.001248  0.001874     3.051
   0.61007  0.40098  0.10679  1.26543  0.003542  0.001200  0.002408     2.951
   0.62617  0.38489  0.10708  1.27245  0.003316  0.001155  0.002932     2.871
   0.64227  0.36879  0.10718  1.27884  0.003123  0.001111  0.003420     2.811
   0.65836  0.35270  0.10708  1.28480  0.002946  0.001069  0.003929     2.756
   0.67432  0.33674  0.10680  1.29053  0.002765  0.001026  0.004556     2.694
   0.69010  0.32097  0.10629  1.29518  0.002606  0.000986  0.005171     2.643
   0.70583  0.30526  0.10554  1.29795  0.002492  0.000951  0.005573     2.620
   0.72167  0.28945  0.10454  1.29984  0.002395  0.000918  0.005888     2.609
   0.73747  0.27369  0.10335  1.30232  0.002268  0.000881  0.006486     2.574
