#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.88664  0.028100  0.011258  0.000490     2.496
   0.00667  0.99364  0.00201  0.89408  0.025962  0.010845  0.000604     2.394
   0.01801  0.98283  0.00544  0.90473  0.023758  0.010296  0.000729     2.307
   0.03089  0.97055  0.00931  0.91762  0.021583  0.009687  0.000874     2.228
   0.04491  0.95712  0.01335  0.93176  0.019685  0.009078  0.001016     2.168
   0.05974  0.94286  0.01740  0.94620  0.018163  0.008508  0.001128     2.135
   0.07527  0.92786  0.02141  0.96032  0.017027  0.007993  0.001191     2.130
   0.09142  0.91220  0.02541  0.97424  0.016196  0.007520  0.001198     2.154
   0.10802  0.89609  0.02942  0.98828  0.015603  0.007074  0.001148     2.206
   0.12488  0.87971  0.03341  1.00276  0.015216  0.006641  0.001040     2.291
   0.14188  0.86318  0.03738  1.01825  0.015024  0.006205  0.000875     2.421
   0.15896  0.84656  0.04130  1.03564  0.015011  0.005742  0.000659     2.614
   0.17607  0.82989  0.04517  1.05619  0.015166  0.005226  0.000433     2.902
   0.19318  0.81321  0.04899  1.08160  0.015455  0.004625  0.000192     3.342
   0.21029  0.79652  0.05273  1.11450  0.015819  0.003898 -0.000064     4.058
   0.22743  0.77978  0.05643  1.15362  0.016171  0.003102 -0.000216     5.213
   0.24453  0.76308  0.06007  1.19598  0.016380  0.002314 -0.000277     7.079
   0.26151  0.74647  0.06361  1.23697  0.016344  0.001626 -0.000380    10.050
   0.27839  0.72994  0.06704  1.23821  0.016221  0.001609 -0.000384    10.083
   0.29522  0.71344  0.07036  1.23928  0.015829  0.001594 -0.000389     9.929
   0.31203  0.69694  0.07357  1.24027  0.015257  0.001581 -0.000394     9.648
   0.32881  0.68046  0.07667  1.24124  0.014557  0.001569 -0.000400     9.275
   0.34552  0.66401  0.07965  1.24223  0.013766  0.001558 -0.000406     8.837
   0.36216  0.64761  0.08250  1.24330  0.012921  0.001546 -0.000414     8.358
   0.37877  0.63123  0.08521  1.24449  0.012055  0.001533 -0.000423     7.862
   0.39539  0.61480  0.08779  1.24587  0.011177  0.001519 -0.000435     7.356
   0.41202  0.59836  0.09025  1.24748  0.010289  0.001504 -0.000450     6.841
   0.42857  0.58198  0.09257  1.24940  0.009407  0.001487 -0.000469     6.327
   0.44503  0.56566  0.09473  1.25173  0.008568  0.001467 -0.000491     5.841
   0.46148  0.54933  0.09674  1.25459  0.007787  0.001444 -0.000507     5.391
   0.47798  0.53293  0.09860  1.25807  0.007054  0.001419 -0.000504     4.973
   0.49446  0.51655  0.10033  1.26224  0.006358  0.001390 -0.000451     4.576
   0.51082  0.50026  0.10190  1.26713  0.005723  0.001358 -0.000314     4.216
   0.52710  0.48404  0.10328  1.27264  0.005177  0.001323 -0.000085     3.912
   0.54339  0.46779  0.10449  1.27889  0.004712  0.001286  0.000221     3.664
   0.55971  0.45151  0.10554  1.28586  0.004305  0.001246  0.000600     3.456
   0.57600  0.43525  0.10643  1.29343  0.003942  0.001203  0.001052     3.276
   0.59218  0.41907  0.10713  1.30122  0.003635  0.001160  0.001531     3.133
   0.60829  0.40298  0.10765  1.30894  0.003375  0.001118  0.002016     3.019
   0.62434  0.38693  0.10796  1.31622  0.003161  0.001077  0.002467     2.935
   0.64042  0.37085  0.10808  1.32302  0.002980  0.001038  0.002885     2.871
   0.65651  0.35476  0.10800  1.32956  0.002812  0.000999  0.003330     2.813
   0.67249  0.33878  0.10774  1.33603  0.002639  0.000960  0.003886     2.748
   0.68825  0.32303  0.10727  1.34189  0.002475  0.000923  0.004509     2.683
   0.70393  0.30737  0.10654  1.34561  0.002365  0.000891  0.004886     2.656
   0.71975  0.29158  0.10557  1.34828  0.002280  0.000861  0.005125     2.649
   0.73559  0.27578  0.10439  1.35171  0.002166  0.000827  0.005608     2.618
   0.75115  0.26028  0.10302  1.35556  0.002022  0.000791  0.006470     2.555
   0.76650  0.24502  0.10139  1.35601  0.001926  0.000762  0.006994     2.528
   0.78192  0.22972  0.09944  1.35394  0.001871  0.000737  0.007116     2.538
   0.79744  0.21436  0.09725  1.35268  0.001797  0.000710  0.007447     2.532
