#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.89821  0.029850  0.012948  0.000667     2.305
   0.00667  0.99364  0.00201  0.90540  0.027721  0.012513  0.000800     2.215
   0.01801  0.98283  0.00544  0.91608  0.025212  0.011910  0.000982     2.117
   0.03089  0.97055  0.00931  0.92955  0.022633  0.011216  0.001216     2.018
   0.04491  0.95712  0.01335  0.94489  0.020266  0.010499  0.001482     1.930
   0.05974  0.94286  0.01740  0.96111  0.018230  0.009813  0.001762     1.858
   0.07527  0.92786  0.02141  0.97732  0.016551  0.009190  0.002037     1.801
   0.09142  0.91220  0.02541  0.99345  0.015138  0.008621  0.002306     1.756
   0.10802  0.89609  0.02942  1.00954  0.013927  0.008099  0.002571     1.719
   0.12488  0.87971  0.03341  1.02558  0.012873  0.007619  0.002832     1.690
   0.14188  0.86318  0.03738  1.04146  0.011954  0.007177  0.003085     1.665
   0.15896  0.84656  0.04130  1.05719  0.011145  0.006770  0.003331     1.646
   0.17607  0.82989  0.04517  1.07266  0.010437  0.006397  0.003563     1.632
   0.19318  0.81321  0.04899  1.08793  0.009810  0.006051  0.003782     1.621
   0.21029  0.79652  0.05273  1.10293  0.009257  0.005732  0.003981     1.615
   0.22743  0.77978  0.05643  1.11772  0.008768  0.005435  0.004156     1.613
   0.24453  0.76308  0.06007  1.13281  0.008317  0.005150  0.004317     1.615
   0.26151  0.74647  0.06361  1.14770  0.007921  0.004884  0.004443     1.622
   0.27839  0.72994  0.06704  1.16201  0.007593  0.004642  0.004509     1.636
   0.29522  0.71344  0.07036  1.17578  0.007332  0.004420  0.004501     1.659
   0.31203  0.69694  0.07357  1.18900  0.007143  0.004215  0.004396     1.695
   0.32881  0.68046  0.07667  1.20200  0.007027  0.004024  0.004176     1.746
   0.34552  0.66401  0.07965  1.21495  0.007000  0.003841  0.003813     1.822
   0.36216  0.64761  0.08250  1.22846  0.007082  0.003661  0.003284     1.934
   0.37877  0.63123  0.08521  1.24357  0.007308  0.003470  0.002573     2.106
   0.39539  0.61480  0.08779  1.26286  0.007693  0.003239  0.001911     2.375
   0.41202  0.59836  0.09025  1.29010  0.008225  0.002930  0.001113     2.807
   0.42857  0.58198  0.09257  1.32908  0.008853  0.002510  0.000236     3.528
   0.44503  0.56566  0.09473  1.38313  0.009471  0.001963 -0.000354     4.826
   0.46148  0.54933  0.09674  1.43617  0.009905  0.001467 -0.000533     6.753
   0.47798  0.53293  0.09860  1.43901  0.010067  0.001443 -0.000537     6.974
   0.49446  0.51655  0.10033  1.44158  0.009946  0.001423 -0.000546     6.991
   0.51082  0.50026  0.10190  1.44404  0.009651  0.001403 -0.000557     6.877
   0.52710  0.48404  0.10328  1.44654  0.009261  0.001384 -0.000571     6.690
   0.54339  0.46779  0.10449  1.44917  0.008805  0.001365 -0.000588     6.450
   0.55971  0.45151  0.10554  1.45202  0.008287  0.001345 -0.000608     6.160
   0.57600  0.43525  0.10643  1.45516  0.007717  0.001325 -0.000632     5.825
   0.59218  0.41907  0.10713  1.45872  0.007139  0.001303 -0.000653     5.481
   0.60829  0.40298  0.10765  1.46283  0.006568  0.001279 -0.000662     5.136
   0.62434  0.38693  0.10796  1.46759  0.006024  0.001252 -0.000643     4.810
   0.64042  0.37085  0.10808  1.47310  0.005511  0.001224 -0.000570     4.503
   0.65651  0.35476  0.10800  1.47940  0.005023  0.001193 -0.000413     4.211
   0.67249  0.33878  0.10774  1.48641  0.004544  0.001160 -0.000118     3.917
   0.68825  0.32303  0.10727  1.49426  0.004120  0.001125  0.000300     3.662
   0.70393  0.30737  0.10654  1.50280  0.003788  0.001088  0.000736     3.481
   0.71975  0.29158  0.10557  1.51180  0.003523  0.001050  0.001145     3.354
   0.73559  0.27578  0.10439  1.52162  0.003244  0.001010  0.001727     3.211
   0.75115  0.26028  0.10302  1.53197  0.002969  0.000969  0.002488     3.065
   0.76650  0.24502  0.10139  1.54125  0.002778  0.000931  0.003051     2.984
   0.78192  0.22972  0.09944  1.54941  0.002654  0.000897  0.003336     2.960
   0.79744  0.21436  0.09725  1.55825  0.002514  0.000861  0.003756     2.921
   0.81279  0.19920  0.09484  1.56756  0.002360  0.000823  0.004353     2.866
   0.82793  0.18429  0.09217  1.57585  0.002242  0.000789  0.004761     2.842
   0.84302  0.16950  0.08922  1.58370  0.002148  0.000755  0.004991     2.843
   0.85806  0.15481  0.08599  1.59240  0.002045  0.000721  0.005303     2.838
   0.87291  0.14036  0.08253  1.60206  0.001930  0.000684  0.005788     2.821
   0.88737  0.12638  0.07886  1.61272  0.001792  0.000645  0.006658     2.777
   0.90140  0.11290  0.07496  1.62195  0.001685  0.000610  0.007234     2.764
   0.91519  0.09977  0.07076  1.63021  0.001623  0.000577  0.007073     2.814
   0.92848  0.08721  0.06643  1.64307  0.001495  0.000537  0.008048     2.785
   0.94079  0.07568  0.06209  1.65713  0.001332  0.000495  0.010291     2.688
   0.95221  0.06515  0.05767  1.66403  0.001268  0.000465  0.010340     2.728
   0.96284  0.05550  0.05322  1.67312  0.001222  0.000434  0.009610     2.816
   0.97241  0.04692  0.04898  1.68931  0.001113  0.000397  0.010861     2.802
   0.98081  0.03952  0.04501  1.70635  0.000989  0.000362  0.013470     2.735
   0.98816  0.03319  0.04127  1.71999  0.000885  0.000330  0.016190     2.682
   0.99463  0.02777  0.03774  1.73044  0.000795  0.000302  0.019263     2.632
   1.00034  0.02313  0.03441  1.73690  0.000719  0.000277  0.022289     2.595
   1.00542  0.01915  0.03125  1.74005  0.000652  0.000255  0.025745     2.557
   1.00996  0.01574  0.02825  1.73887  0.000595  0.000235  0.029054     2.529
   1.01405  0.01281  0.02541  1.73428  0.000538  0.000217  0.033507     2.486
   1.01775  0.01030  0.02269  1.72307  0.000491  0.000200  0.037955     2.449
   1.02112  0.00816  0.02007  1.70490  0.000450  0.000186  0.042449     2.414
   1.02423  0.00634  0.01756  1.67911  0.000417  0.000174  0.046202     2.390
   1.02710  0.00481  0.01513  1.64689  0.000386  0.000164  0.050646     2.357
   1.02975  0.00353  0.01281  1.60576  0.000362  0.000155  0.053636     2.336
   1.03221  0.00250  0.01057  1.55835  0.000342  0.000148  0.056042     2.318
   1.03452  0.00166  0.00842  1.50610  0.000331  0.000142  0.055050     2.336
   1.03670  0.00100  0.00634  1.45703  0.000317  0.000134  0.054426     2.359
   1.03878  0.00049  0.00433  1.41215  0.000301  0.000125  0.052691     2.411
   1.04077  0.00014  0.00237  1.37082  0.000266  0.000111  0.059460     2.385
   1.04268 -0.00001  0.00047  1.31000  0.000232  0.000099  0.067117     2.353
   1.04452  0.00009 -0.00138  1.20867  0.000200  0.000089  0.078318     2.260
   1.04638  0.00049 -0.00318  1.04735  0.000192  0.000086  0.073482     2.220
   1.04830  0.00119 -0.00498  0.85880  0.000196  0.000089  0.059612     2.207
   1.05035  0.00220 -0.00676  0.66870  0.000207  0.000094  0.043883     2.208
   1.05254  0.00351 -0.00851  0.48934  0.000222  0.000101  0.029984     2.207
   1.05487  0.00512 -0.01021  0.32686  0.000240  0.000108  0.018303     2.221
   1.05738  0.00701 -0.01184  0.17971  0.000263  0.000119  0.009309     2.205
   1.06008  0.00920 -0.01343  0.05788  0.000315  0.000141  0.002452     2.230
   1.06301  0.01168 -0.01499 -0.04605  0.000315  0.000141  0.001952     2.230
   1.06622  0.01448 -0.01656 -0.13726  0.000371  0.000164  0.004802     2.258
   1.06978  0.01766 -0.01815 -0.21724  0.000398  0.000178  0.007240     2.234
   1.07377  0.02129 -0.01981 -0.28854  0.000447  0.000196  0.008230     2.278
   1.07825  0.02543 -0.02154 -0.35551  0.000475  0.000211  0.009817     2.248
   1.08332  0.03017 -0.02333 -0.41935  0.000518  0.000227  0.010320     2.278
   1.08907  0.03561 -0.02519 -0.47904  0.000558  0.000245  0.010990     2.275
   1.09564  0.04190 -0.02708 -0.53340  0.000615  0.000267  0.010842     2.300
   1.10320  0.04922 -0.02900 -0.58195  0.000677  0.000293  0.010644     2.310
   1.11196  0.05776 -0.03093 -0.62463  0.000754  0.000323  0.010064     2.331
   1.12207  0.06768 -0.03288 -0.66255  0.000834  0.000356  0.009573     2.339
   1.13350  0.07895 -0.03481 -0.69874  0.000904  0.000388  0.009374     2.332
   1.14613  0.09144 -0.03664 -0.72972  0.000996  0.000423  0.008684     2.356
   1.15994  0.10515 -0.03835 -0.75463  0.001099  0.000462  0.007972     2.377
   1.17469  0.11981 -0.03996 -0.77858  0.001171  0.000496  0.007849     2.360
   1.18993  0.13498 -0.04141 -0.80039  0.001249  0.000529  0.007551     2.362
   1.20552  0.15051 -0.04267 -0.81906  0.001331  0.000561  0.007182     2.372
   1.22143  0.16639 -0.04375 -0.83437  0.001421  0.000595  0.006747     2.387
   1.23764  0.18258 -0.04467 -0.84782  0.001503  0.000628  0.006454     2.392
   1.25400  0.19892 -0.04546 -0.86038  0.001572  0.000658  0.006279     2.389
   1.27036  0.21526 -0.04609 -0.87239  0.001632  0.000685  0.006167     2.383
   1.28677  0.23166 -0.04656 -0.88210  0.001715  0.000715  0.005845     2.399
   1.30335  0.24824 -0.04689 -0.89041  0.001796  0.000745  0.005570     2.410
   1.32002  0.26491 -0.04711 -0.89849  0.001860  0.000772  0.005437     2.408
   1.33663  0.28153 -0.04721 -0.90649  0.001913  0.000797  0.005366     2.402
   1.35321  0.29810 -0.04717 -0.91324  0.001983  0.000823  0.005176     2.410
   1.36986  0.31475 -0.04699 -0.91886  0.002060  0.000850  0.004950     2.422
   1.38656  0.33145 -0.04670 -0.92415  0.002127  0.000876  0.004801     2.427
   1.40323  0.34811 -0.04629 -0.92912  0.002189  0.000901  0.004681     2.428
   1.41985  0.36473 -0.04576 -0.93340  0.002257  0.000927  0.004530     2.435
   1.43647  0.38133 -0.04510 -0.93678  0.002335  0.000954  0.004337     2.448
   1.45309  0.39793 -0.04431 -0.93952  0.002415  0.000981  0.004149     2.461
   1.46972  0.41453 -0.04339 -0.94156  0.002500  0.001010  0.003953     2.476
   1.48633  0.43111 -0.04234 -0.94297  0.002590  0.001039  0.003757     2.492
   1.50291  0.44765 -0.04116 -0.94360  0.002689  0.001070  0.003540     2.514
   1.51945  0.46414 -0.03985 -0.94334  0.002803  0.001103  0.003292     2.542
   1.53596  0.48059 -0.03840 -0.94210  0.002937  0.001139  0.003013     2.578
