#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.91327  0.033193  0.012720  0.000399     2.610
   0.00667  0.99364  0.00201  0.91808  0.031054  0.012417  0.000496     2.501
   0.01801  0.98283  0.00544  0.92584  0.028428  0.011958  0.000636     2.377
   0.03089  0.97055  0.00931  0.93612  0.025658  0.011396  0.000820     2.251
   0.04491  0.95712  0.01335  0.94845  0.023041  0.010781  0.001040     2.137
   0.05974  0.94286  0.01740  0.96217  0.020720  0.010157  0.001282     2.040
   0.07527  0.92786  0.02141  0.97659  0.018743  0.009559  0.001534     1.961
   0.09142  0.91220  0.02541  0.99157  0.017038  0.008991  0.001795     1.895
   0.10802  0.89609  0.02942  1.00705  0.015549  0.008453  0.002064     1.839
   0.12488  0.87971  0.03341  1.02290  0.014239  0.007947  0.002343     1.792
   0.14188  0.86318  0.03738  1.03897  0.013089  0.007474  0.002627     1.751
   0.15896  0.84656  0.04130  1.05520  0.012072  0.007033  0.002916     1.717
   0.17607  0.82989  0.04517  1.07140  0.011175  0.006625  0.003206     1.687
   0.19318  0.81321  0.04899  1.08761  0.010378  0.006245  0.003496     1.662
   0.21029  0.79652  0.05273  1.10372  0.009670  0.005894  0.003784     1.641
   0.22743  0.77978  0.05643  1.11978  0.009034  0.005566  0.004069     1.623
   0.24453  0.76308  0.06007  1.13626  0.008442  0.005252  0.004364     1.607
   0.26151  0.74647  0.06361  1.15272  0.007908  0.004959  0.004655     1.595
   0.27839  0.72994  0.06704  1.16877  0.007437  0.004689  0.004927     1.586
   0.29522  0.71344  0.07036  1.18437  0.007024  0.004442  0.005171     1.581
   0.31203  0.69694  0.07357  1.19951  0.006662  0.004214  0.005380     1.581
   0.32881  0.68046  0.07667  1.21440  0.006343  0.004001  0.005551     1.585
   0.34552  0.66401  0.07965  1.22889  0.006068  0.003804  0.005668     1.595
   0.36216  0.64761  0.08250  1.24291  0.005840  0.003621  0.005710     1.613
