#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.88576  0.027079  0.010702  0.000315     2.530
   0.00667  0.99364  0.00201  0.89122  0.025069  0.010417  0.000315     2.407
   0.01801  0.98283  0.00544  0.90222  0.022960  0.009870  0.000403     2.326
   0.03089  0.97055  0.00931  0.91607  0.020903  0.009240  0.000542     2.262
   0.04491  0.95712  0.01335  0.93125  0.019152  0.008611  0.000707     2.224
   0.05974  0.94286  0.01740  0.94623  0.017805  0.008041  0.000834     2.214
   0.07527  0.92786  0.02141  0.96061  0.016864  0.007534  0.000869     2.238
   0.09142  0.91220  0.02541  0.97494  0.016246  0.007063  0.000812     2.300
   0.10802  0.89609  0.02942  0.98990  0.015880  0.006601  0.000679     2.406
   0.12488  0.87971  0.03341  1.00633  0.015736  0.006124  0.000494     2.570
   0.14188  0.86318  0.03738  1.02598  0.015767  0.005581  0.000413     2.825
   0.15896  0.84656  0.04130  1.04905  0.015953  0.004974  0.000303     3.207
   0.17607  0.82989  0.04517  1.07897  0.016341  0.004252 -0.000131     3.843
   0.19318  0.81321  0.04899  1.11673  0.016697  0.003421 -0.000229     4.880
   0.21029  0.79652  0.05273  1.15741  0.016987  0.002601 -0.000289     6.531
   0.22743  0.77978  0.05643  1.21148  0.017000  0.001658 -0.000367    10.251
   0.24453  0.76308  0.06007  1.21271  0.016959  0.001640 -0.000371    10.341
   0.26151  0.74647  0.06361  1.21372  0.016595  0.001625 -0.000376    10.210
   0.27839  0.72994  0.06704  1.21464  0.016033  0.001613 -0.000381     9.942
   0.29522  0.71344  0.07036  1.21552  0.015335  0.001601 -0.000386     9.579
   0.31203  0.69694  0.07357  1.21641  0.014541  0.001590 -0.000392     9.147
   0.32881  0.68046  0.07667  1.21735  0.013679  0.001579 -0.000400     8.665
   0.34552  0.66401  0.07965  1.21839  0.012771  0.001567 -0.000409     8.151
   0.36216  0.64761  0.08250  1.21957  0.011848  0.001554 -0.000421     7.624
   0.37877  0.63123  0.08521  1.22096  0.010934  0.001540 -0.000435     7.101
   0.39539  0.61480  0.08779  1.22264  0.010039  0.001523 -0.000452     6.589
   0.41202  0.59836  0.09025  1.22467  0.009158  0.001505 -0.000473     6.085
   0.42857  0.58198  0.09257  1.22713  0.008307  0.001484 -0.000487     5.598
