#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.88856  0.028800  0.012990  0.000763     2.217
   0.00667  0.99364  0.00201  0.89699  0.026579  0.012484  0.000914     2.129
   0.01801  0.98283  0.00544  0.90890  0.024101  0.011823  0.001111     2.038
   0.03089  0.97055  0.00931  0.92361  0.021596  0.011080  0.001357     1.949
   0.04491  0.95712  0.01335  0.94000  0.019335  0.010332  0.001631     1.871
   0.05974  0.94286  0.01740  0.95697  0.017423  0.009632  0.001911     1.809
   0.07527  0.92786  0.02141  0.97356  0.015872  0.009009  0.002176     1.762
   0.09142  0.91220  0.02541  0.98974  0.014590  0.008451  0.002425     1.726
   0.10802  0.89609  0.02942  1.00565  0.013503  0.007945  0.002659     1.699
   0.12488  0.87971  0.03341  1.02130  0.012567  0.007483  0.002878     1.679
   0.14188  0.86318  0.03738  1.03661  0.011761  0.007062  0.003078     1.665
   0.15896  0.84656  0.04130  1.05163  0.011062  0.006676  0.003258     1.657
   0.17607  0.82989  0.04517  1.06626  0.010460  0.006322  0.003410     1.654
   0.19318  0.81321  0.04899  1.08057  0.009941  0.005996  0.003530     1.658
   0.21029  0.79652  0.05273  1.09451  0.009501  0.005696  0.003608     1.668
   0.22743  0.77978  0.05643  1.10817  0.009133  0.005417  0.003637     1.686
   0.24453  0.76308  0.06007  1.12202  0.008817  0.005150  0.003617     1.712
   0.26151  0.74647  0.06361  1.13566  0.008579  0.004900  0.003521     1.751
   0.27839  0.72994  0.06704  1.14895  0.008438  0.004667  0.003322     1.808
   0.29522  0.71344  0.07036  1.16225  0.008410  0.004446  0.002998     1.892
   0.31203  0.69694  0.07357  1.17633  0.008511  0.004222  0.002538     2.016
   0.32881  0.68046  0.07667  1.19267  0.008755  0.003977  0.001947     2.202
   0.34552  0.66401  0.07965  1.21348  0.009160  0.003680  0.001372     2.489
   0.36216  0.64761  0.08250  1.24206  0.009719  0.003292  0.000738     2.952
   0.37877  0.63123  0.08521  1.28213  0.010386  0.002776  0.000053     3.741
   0.39539  0.61480  0.08779  1.33688  0.011023  0.002119 -0.000361     5.202
   0.41202  0.59836  0.09025  1.39259  0.011426  0.001507 -0.000486     7.581
   0.42857  0.58198  0.09257  1.39492  0.011577  0.001485 -0.000491     7.796
   0.44503  0.56566  0.09473  1.39699  0.011456  0.001466 -0.000498     7.817
   0.46148  0.54933  0.09674  1.39896  0.011170  0.001448 -0.000506     7.716
   0.47798  0.53293  0.09860  1.40092  0.010750  0.001430 -0.000517     7.515
   0.49446  0.51655  0.10033  1.40290  0.010213  0.001414 -0.000529     7.224
   0.51082  0.50026  0.10190  1.40501  0.009611  0.001397 -0.000544     6.880
   0.52710  0.48404  0.10328  1.40734  0.008988  0.001379 -0.000563     6.517
   0.54339  0.46779  0.10449  1.41000  0.008358  0.001360 -0.000585     6.146
   0.55971  0.45151  0.10554  1.41305  0.007716  0.001339 -0.000610     5.761
   0.57600  0.43525  0.10643  1.41660  0.007064  0.001317 -0.000627     5.366
   0.59218  0.41907  0.10713  1.42079  0.006439  0.001292 -0.000626     4.985
   0.60829  0.40298  0.10765  1.42570  0.005853  0.001264 -0.000578     4.631
