#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.87865  0.027975  0.012397  0.000711     2.257
   0.00667  0.99364  0.00201  0.88736  0.025740  0.011889  0.000858     2.165
   0.01801  0.98283  0.00544  0.89947  0.023343  0.011237  0.001039     2.077
   0.03089  0.97055  0.00931  0.91420  0.020959  0.010515  0.001260     1.993
   0.04491  0.95712  0.01335  0.93036  0.018845  0.009800  0.001496     1.923
   0.05974  0.94286  0.01740  0.94680  0.017098  0.009141  0.001722     1.871
   0.07527  0.92786  0.02141  0.96261  0.015723  0.008561  0.001915     1.837
   0.09142  0.91220  0.02541  0.97779  0.014628  0.008047  0.002072     1.818
   0.10802  0.89609  0.02942  0.99250  0.013736  0.007583  0.002191     1.811
   0.12488  0.87971  0.03341  1.00679  0.013009  0.007163  0.002269     1.816
   0.14188  0.86318  0.03738  1.02066  0.012428  0.006779  0.002299     1.833
   0.15896  0.84656  0.04130  1.03422  0.011979  0.006426  0.002272     1.864
   0.17607  0.82989  0.04517  1.04757  0.011661  0.006096  0.002180     1.913
   0.19318  0.81321  0.04899  1.06104  0.011471  0.005780  0.002013     1.984
   0.21029  0.79652  0.05273  1.07508  0.011420  0.005468  0.001764     2.088
   0.22743  0.77978  0.05643  1.09063  0.011512  0.005140  0.001432     2.240
   0.24453  0.76308  0.06007  1.10918  0.011734  0.004768  0.001039     2.461
   0.26151  0.74647  0.06361  1.13241  0.012102  0.004326  0.000673     2.797
   0.27839  0.72994  0.06704  1.16288  0.012604  0.003779  0.000258     3.335
   0.29522  0.71344  0.07036  1.20430  0.013160  0.003085 -0.000143     4.266
   0.31203  0.69694  0.07357  1.25372  0.013645  0.002323 -0.000310     5.874
   0.32881  0.68046  0.07667  1.30698  0.013881  0.001577 -0.000422     8.800
   0.34552  0.66401  0.07965  1.30870  0.013961  0.001557 -0.000427     8.967
   0.36216  0.64761  0.08250  1.31019  0.013749  0.001540 -0.000433     8.930
   0.37877  0.63123  0.08521  1.31158  0.013355  0.001524 -0.000439     8.762
   0.39539  0.61480  0.08779  1.31295  0.012830  0.001510 -0.000446     8.499
   0.41202  0.59836  0.09025  1.31433  0.012197  0.001495 -0.000455     8.156
   0.42857  0.58198  0.09257  1.31578  0.011486  0.001481 -0.000465     7.754
   0.44503  0.56566  0.09473  1.31737  0.010743  0.001467 -0.000477     7.325
   0.46148  0.54933  0.09674  1.31919  0.009996  0.001451 -0.000492     6.891
   0.47798  0.53293  0.09860  1.32129  0.009238  0.001433 -0.000511     6.446
   0.49446  0.51655  0.10033  1.32375  0.008466  0.001414 -0.000534     5.988
   0.51082  0.50026  0.10190  1.32667  0.007712  0.001392 -0.000556     5.539
   0.52710  0.48404  0.10328  1.33019  0.007015  0.001368 -0.000562     5.128
   0.54339  0.46779  0.10449  1.33441  0.006378  0.001341 -0.000537     4.757
   0.55971  0.45151  0.10554  1.33938  0.005781  0.001311 -0.000448     4.411
   0.57600  0.43525  0.10643  1.34505  0.005224  0.001278 -0.000259     4.087
   0.59218  0.41907  0.10713  1.35143  0.004728  0.001243  0.000038     3.803
   0.60829  0.40298  0.10765  1.35860  0.004302  0.001205  0.000422     3.569
   0.62434  0.38693  0.10796  1.36644  0.003940  0.001165  0.000862     3.381
   0.64042  0.37085  0.10808  1.37469  0.003633  0.001124  0.001333     3.232
   0.65651  0.35476  0.10800  1.38315  0.003367  0.001082  0.001831     3.110
   0.67249  0.33878  0.10774  1.39189  0.003108  0.001040  0.002444     2.989
   0.68825  0.32303  0.10727  1.40030  0.002881  0.000998  0.003096     2.886
   0.70393  0.30737  0.10654  1.40729  0.002720  0.000962  0.003567     2.829
   0.71975  0.29158  0.10557  1.41323  0.002601  0.000928  0.003874     2.804
   0.73559  0.27578  0.10439  1.42010  0.002446  0.000890  0.004458     2.747
   0.75115  0.26028  0.10302  1.42703  0.002274  0.000851  0.005298     2.671
   0.76650  0.24502  0.10139  1.43128  0.002157  0.000819  0.005853     2.634
   0.78192  0.22972  0.09944  1.43323  0.002089  0.000792  0.006016     2.639
   0.79744  0.21436  0.09725  1.43613  0.001998  0.000761  0.006398     2.626
   0.81279  0.19920  0.09484  1.43958  0.001884  0.000728  0.007097     2.589
   0.82793  0.18429  0.09217  1.44086  0.001798  0.000698  0.007547     2.577
   0.84302  0.16950  0.08922  1.44111  0.001727  0.000670  0.007839     2.579
   0.85806  0.15481  0.08599  1.44128  0.001658  0.000640  0.008067     2.590
   0.87291  0.14036  0.08253  1.44271  0.001567  0.000608  0.008651     2.579
   0.88737  0.12638  0.07886  1.44442  0.001453  0.000573  0.009780     2.538
   0.90140  0.11290  0.07496  1.44248  0.001369  0.000542  0.010476     2.528
   0.91519  0.09977  0.07076  1.43828  0.001325  0.000514  0.010246     2.575
   0.92848  0.08721  0.06643  1.43905  0.001223  0.000479  0.011329     2.557
   0.94079  0.07568  0.06209  1.43937  0.001088  0.000441  0.013979     2.470
   0.95221  0.06515  0.05767  1.42910  0.001031  0.000415  0.014440     2.485
   0.96284  0.05550  0.05322  1.41960  0.000994  0.000390  0.013836     2.551
   0.97241  0.04692  0.04898  1.41770  0.000912  0.000358  0.015117     2.548
   0.98081  0.03952  0.04501  1.41552  0.000819  0.000326  0.017472     2.512
   0.98816  0.03319  0.04127  1.40876  0.000741  0.000298  0.019794     2.484
   0.99463  0.02777  0.03774  1.39786  0.000674  0.000274  0.022110     2.462
   1.00034  0.02313  0.03441  1.38292  0.000612  0.000252  0.024948     2.429
   1.00542  0.01915  0.03125  1.36212  0.000563  0.000233  0.026968     2.418
   1.00996  0.01574  0.02825  1.33834  0.000518  0.000215  0.029262     2.403
   1.01405  0.01281  0.02541  1.31018  0.000474  0.000199  0.032095     2.379
   1.01775  0.01030  0.02269  1.27513  0.000435  0.000185  0.034820     2.354
   1.02112  0.00816  0.02007  1.23259  0.000403  0.000172  0.037028     2.335
   1.02423  0.00634  0.01756  1.18349  0.000376  0.000162  0.038337     2.327
   1.02710  0.00481  0.01513  1.12854  0.000349  0.000152  0.040420     2.301
   1.02975  0.00353  0.01281  1.06378  0.000328  0.000144  0.041440     2.278
   1.03221  0.00250  0.01057  0.99253  0.000315  0.000138  0.040149     2.281
   1.03452  0.00166  0.00842  0.91892  0.000299  0.000132  0.039704     2.265
   1.03670  0.00100  0.00634  0.84003  0.000288  0.000127  0.037491     2.269
